Time,T1Mesure,T2Mesure,T3Mesure,TECEntr_e_SortieAmpli,T1Vmesure_0_5V_,T2Vmesure_0_5V_,T3Vmesure_0_5V_,R_gulateurSortie,PerturbationCourant,T3Estimation,AmpliEntr_e,R_gulateurEntr_e,Consigne,T1Perturbation,T2Perturbation,T3Perturbation,PWM_DACSortie,TECSortie,T1R_sistance,T2R_sistance,T3R_sistance
661,27.7442565075434,28.0238018819126,27.3818500154112,-0.00370882978479628,1.66256896627286,1.61397014308208,1.72734799417403,-0.0060620042167443,0.2,27.4919972768514,2.48840990692251,-0.198662563799066,27,3.00344025355608,2.96157468302608,2.28581852581518,0,-0.011706550332731,8895.08194942771,8790.5066590804,9036.29724510111
661.5,27.7442565075434,28.0238018819126,27.3818500154112,-0.00308840959693882,1.66310716222295,1.61431586427047,1.72767590634885,-0.0060620042167443,0.2,27.4897684971389,2.49034872000957,-0.198662563799066,27,3.00806327214038,2.96656055434082,2.2908442145374,0,-0.00974825605177768,8896.24656021378,8791.24649622659,9037.01744819525
662,27.7442565075434,28.0238018819126,27.3818500154112,-0.00249819930258724,1.66364049549516,1.61465926991008,1.72800219579422,-0.00603240631693325,0.2,27.4876040739747,2.49219312717941,-0.195041629589873,27,3.01266812564561,2.97152914362328,2.29585273999869,0,-0.00788531627868636,8897.40079020573,8791.98143581726,9037.73414133455
662.5,27.7442565075434,28.0238018819126,27.3818500154112,-0.00211912006561533,1.66416900297037,1.61500037257198,1.72832685892348,-0.00603240631693325,0.2,27.4855019697441,2.49337774979495,-0.195041629589873,27,3.01725488544723,2.97648051077645,2.30084415636207,0,-0.00668879057510824,8898.54471540403,8792.71150360339,9038.44731584106
663,27.7442565075434,28.0238018819126,27.3540182959448,-0.00209777658517126,1.66469272361393,1.61533918478168,1.72864989244755,-0.00603240631693325,0.2,27.4834602145749,2.49344444817134,-0.195041629589873,27,3.02182362264025,2.9814147154957,2.30581851771714,5,-0.00662142201343457,8899.67841639386,8793.43672525429,9039.15696369198
663.5,27.7163393385747,28.0238018819126,27.3540182959448,-0.00249521932405912,1.6652116967948,1.61567571901838,1.72897129336737,-0.00603240631693325,0.2,27.4814769040315,2.49220243961232,-0.195041629589873,27,3.02637440804033,2.98633181726946,2.31077587807788,5,-0.00787591027446021,8900.80197470759,8794.1571263559,9039.86307750349
664,27.7163393385747,28.0238018819126,27.3540182959448,-0.00310834059419392,1.66572596182692,1.61600998771398,1.72929105896649,-0.00633863985106586,0.2,27.4795496545992,2.49028643564314,-0.191819861839683,27,3.03090731218487,2.99123187538,2.31571629138047,5,-0.00981116625151369,8901.91547183141,8794.87273240837,9040.56565051461
664.5,27.7163393385747,27.9958164360544,27.3540182959448,-0.00371194546247779,1.66623555426722,1.61634200325244,1.7296091868038,-0.00633863985106586,0.2,27.4776761787836,2.48840017042976,-0.191819861839683,27,3.03542240533413,2.99611494890407,2.32063981148124,5,-0.0117163846577649,8903.01898118736,8795.58356882469,9041.2646765715
665,27.7163393385747,27.9958164360544,27.3540182959448,-0.00411993157183119,1.6667405066593,1.61667177796904,1.7299256747065,-0.00633863985106586,0.2,27.4750916432691,2.48712521383803,-0.191819861839683,27,3.03991975747227,3.00098109671366,2.32554649215459,5,-0.013004152013328,8904.11256973835,8796.28966092879,9041.96015011229
665.5,27.7163393385747,27.9958164360544,27.3540182959448,-0.00418114927450802,1.66724084895453,1.61699932414972,1.73024052076311,-0.00633863985106586,0.2,27.4725839251299,2.48693390851716,-0.191819861839683,27,3.04439943830848,3.0058303774767,2.33043638709105,5,-0.0131973795700571,8905.19629889595,8796.99103395401,9042.65206615195
