Time,T1Mesure,T2Mesure,T3Mesure,PerturbationCourant,T3Estimation,Consigne
722.5,24.5724106514213,25.4479543315679,25.0916905577207,0.2,25.1345313551618,25
723.0,24.5724106514213,25.4479543315679,25.0916905577207,0.2,25.1342064256062,25
723.5,24.5724106514213,25.4479543315679,25.0916905577207,0.2,25.13389129828,25
724.0,24.5451243823126,25.4479543315679,25.0916905577207,0.2,25.1335856559227,25
724.5,24.5451243823126,25.4479543315679,25.0916905577207,0.2,25.1332886618769,25
725.0,24.5451243823126,25.4479543315679,25.0916905577207,0.2,25.1329995239305,25
725.5,24.5451243823126,25.4479543315679,25.0916905577207,0.2,25.1327180054807,25
726.0,24.5451243823126,25.4479543315679,25.0916905577207,0.2,25.1324438776197,25
726.5,24.5451243823126,25.4479543315679,25.0916905577207,0.2,25.1321769188741,25
727.0,24.5451243823126,25.4479543315679,25.0916905577207,0.2,25.1319169149543,25
727.5,24.5451243823126,25.4479543315679,25.0916905577207,0.2,25.1316636585118,25
728.0,24.5451243823126,25.4479543315679,25.0916905577207,0.2,25.1314169489049,25
728.5,24.5451243823126,25.4479543315679,25.0916905577207,0.2,25.1311765919728,25
729.0,24.5451243823126,25.4479543315679,25.0916905577207,0.2,25.1309423998169,25
729.5,24.5451243823126,25.4479543315679,25.0643190522774,0.2,25.1307141905906,25
730.0,24.5451243823126,25.4479543315679,25.0643190522774,0.2,25.1304917882951,25
730.5,24.5451243823126,25.4479543315679,25.0643190522774,0.2,25.130275022583,25
731.0,24.5451243823126,25.4479543315679,25.0643190522774,0.2,25.1300637285683,25
731.5,24.5451243823126,25.4479543315679,25.0643190522774,0.2,25.1298577466435,25
732.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1296569223019,25
732.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1287129789376,25
733.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1277997091512,25
733.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1269160822785,25
734.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1260611028277,25
734.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1252338092706,25
735.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1244332728758,25
