Time,T1Mesure,T2Mesure,T3Mesure,T3Estimation,Consigne
266.0,32.6658877450266,30.7749311658977,29.8873026255451,29.9668484717827,30
266.5,32.6658877450266,30.7749311658977,29.8873026255451,29.9667519789084,30
267.0,32.6658877450266,30.7749311658977,29.8873026255451,29.9666550751518,30
267.5,32.6658877450266,30.803708418321,29.8873026255451,29.9665578300959,30
268.0,32.6658877450266,30.803708418321,29.8873026255451,29.9672450657907,30
268.5,32.6658877450266,30.803708418321,29.8873026255451,29.967905015783,30
269.0,32.6658877450266,30.803708418321,29.8873026255451,29.9685386744522,30
269.5,32.6658877450266,30.803708418321,29.8873026255451,29.9691470010984,30
270.0,32.6658877450266,30.803708418321,29.8873026255451,29.9697309211639,30
270.5,32.6658877450266,30.803708418321,29.8873026255451,29.9702913274117,30
271.0,32.6658877450266,30.803708418321,29.8873026255451,29.9708290810636,30
271.5,32.6658877450266,30.803708418321,29.8873026255451,29.9713450128989,30
272.0,32.6658877450266,30.803708418321,29.8873026255451,29.9718399243146,30
272.5,32.6658877450266,30.803708418321,29.8873026255451,29.9723145883495,30
273.0,32.6658877450266,30.803708418321,29.8873026255451,29.9727697506729,30
273.5,32.6658877450266,30.803708418321,29.8873026255451,29.9732061305378,30
274.0,32.6658877450266,30.803708418321,29.8873026255451,29.9736244217031,30
274.5,32.6658877450266,30.803708418321,29.8873026255451,29.9740252933221,30
275.0,32.6658877450266,30.803708418321,29.8873026255451,29.9744093908011,30
275.5,32.6658877450266,30.803708418321,29.8873026255451,29.9747773366281,30
276.0,32.6658877450266,30.803708418321,29.8873026255451,29.9751297311728,30
276.5,32.6658877450266,30.803708418321,29.8873026255451,29.9754671534585,30
277.0,32.6658877450266,30.803708418321,29.8873026255451,29.9757901619081,30
277.5,32.6658877450266,30.803708418321,29.8873026255451,29.9760992950633,30
278.0,32.6658877450266,30.803708418321,29.8873026255451,29.9763950722793,30
278.5,32.6658877450266,30.803708418321,29.8873026255451,29.9766779943959,30
279.0,32.6658877450266,30.803708418321,29.8873026255451,29.9769485443841,30
279.5,32.6658877450266,30.803708418321,29.8873026255451,29.9772071879715,30
280.0,32.6658877450266,30.803708418321,29.8873026255451,29.9774543742455,30
280.5,32.6658877450266,30.803708418321,29.8873026255451,29.9776905362354,30
281.0,32.6658877450266,30.803708418321,29.8873026255451,29.9779160914746,30
281.5,32.6658877450266,30.803708418321,29.8873026255451,29.9781314425434,30
282.0,32.6658877450266,30.803708418321,29.8873026255451,29.9783369775925,30
282.5,32.6658877450266,30.803708418321,29.9158045746618,29.9785330708485,30
283.0,32.6658877450266,30.803708418321,29.9158045746618,29.9787200831026,30
283.5,32.6658877450266,30.803708418321,29.9158045746618,29.9788983621807,30
284.0,32.6658877450266,30.803708418321,29.9158045746618,29.9790682433993,30
284.5,32.6658877450266,30.803708418321,29.9158045746618,29.9792300500033,30
285.0,32.6658877450266,30.803708418321,29.9158045746618,29.9793840935908,30
285.5,32.6658877450266,30.803708418321,29.9158045746618,29.9795306745212,30
286.0,32.6658877450266,30.803708418321,29.9158045746618,29.9796700823106,30
286.5,32.6658877450266,30.803708418321,29.9158045746618,29.9798025960125,30
287.0,32.6658877450266,30.803708418321,29.9158045746618,29.979928484586,30
287.5,32.6658877450266,30.803708418321,29.9158045746618,29.9800480072503,30
288.0,32.6658877450266,30.803708418321,29.9158045746618,29.980161413828,30
288.5,32.6658877450266,30.803708418321,29.9158045746618,29.9802689450755,30
289.0,32.6658877450266,30.803708418321,29.9158045746618,29.9803708330024,30
289.5,32.6658877450266,30.803708418321,29.9158045746618,29.9804673011796,30
290.0,32.6658877450266,30.803708418321,29.9158045746618,29.980558565037,30
290.5,32.6658877450266,30.803708418321,29.9158045746618,29.9806448321501,30
291.0,32.6658877450266,30.803708418321,29.9158045746618,29.9807263025177,30
291.5,32.6658877450266,30.803708418321,29.9158045746618,29.9808031688291,30
292.0,32.6658877450266,30.803708418321,29.9158045746618,29.9808756167222,30
292.5,32.6658877450266,30.803708418321,29.9158045746618,29.9809438250326,30
293.0,32.6658877450266,30.803708418321,29.9158045746618,29.9810079660344,30
293.5,32.6658877450266,30.803708418321,29.9158045746618,29.9810682056719,30
294.0,32.6658877450266,30.803708418321,29.9158045746618,29.981124703784,30
294.5,32.6658877450266,30.803708418321,29.9158045746618,29.9811776143201,30
295.0,32.6658877450266,30.803708418321,29.9158045746618,29.9812270855491,30
295.5,32.6658877450266,30.803708418321,29.9158045746618,29.9812732602604,30
296.0,32.6658877450266,30.803708418321,29.9158045746618,29.9813162759585,30
296.5,32.6364638817896,30.803708418321,29.9158045746618,29.9813562650506,30
297.0,32.6364638817896,30.803708418321,29.9158045746618,29.9813927834691,30
297.5,32.6364638817896,30.803708418321,29.9158045746618,29.9814254192501,30
298.0,32.6364638817896,30.803708418321,29.9158045746618,29.9814543442887,30
298.5,32.6364638817896,30.803708418321,29.9158045746618,29.9814797240282,30
299.0,32.6364638817896,30.803708418321,29.9158045746618,29.981501717689,30
299.5,32.6364638817896,30.803708418321,29.9158045746618,29.9815204784897,30
300.0,32.6364638817896,30.803708418321,29.9158045746618,29.9815361538596,30
300.5,32.6364638817896,30.803708418321,29.9158045746618,29.9815488856454,30
301.0,32.6364638817896,30.803708418321,29.9158045746618,29.981558810309,30
301.5,32.6364638817896,30.803708418321,29.9158045746618,29.9815660591201,30
302.0,32.6364638817896,30.803708418321,29.9158045746618,29.9815707583404,30
302.5,32.6364638817896,30.803708418321,29.9158045746618,29.9815730294032,30
303.0,32.6364638817896,30.803708418321,29.9158045746618,29.9815729890851,30
303.5,32.6364638817896,30.803708418321,29.9158045746618,29.9815707496729,30
304.0,32.6364638817896,30.803708418321,29.9158045746618,29.9815664191241,30
304.5,32.6364638817896,30.803708418321,29.9158045746618,29.9815601012219,30
305.0,32.6364638817896,30.803708418321,29.9158045746618,29.9815518957253,30
305.5,32.6364638817896,30.803708418321,29.9158045746618,29.981541898513,30
306.0,32.6364638817896,30.803708418321,29.9158045746618,29.9815302017233,30
306.5,32.6364638817896,30.803708418321,29.9158045746618,29.9815168938883,30
307.0,32.6364638817896,30.803708418321,29.9158045746618,29.9815020600641,30
307.5,32.6364638817896,30.803708418321,29.9158045746618,29.981485781956,30
308.0,32.6364638817896,30.803708418321,29.9158045746618,29.9814681380395,30
308.5,32.6364638817896,30.803708418321,29.9158045746618,29.9814492036769,30
309.0,32.6364638817896,30.803708418321,29.9158045746618,29.9814290512302,30
309.5,32.6364638817896,30.803708418321,29.9158045746618,29.9814077501699,30
310.0,32.6364638817896,30.803708418321,29.9158045746618,29.9813853671796,30
310.5,32.6364638817896,30.803708418321,29.9158045746618,29.9813619662573,30
311.0,32.6364638817896,30.803708418321,29.9158045746618,29.9813376088135,30
311.5,32.6364638817896,30.803708418321,29.9158045746618,29.9813123537651,30
312.0,32.6364638817896,30.803708418321,29.9158045746618,29.9812862576265,30
312.5,32.6364638817896,30.803708418321,29.9158045746618,29.9812593745975,30
313.0,32.6364638817896,30.803708418321,29.9158045746618,29.9812317566477,30
313.5,32.6364638817896,30.803708418321,29.9158045746618,29.9812034535985,30
314.0,32.6364638817896,30.8324949508421,29.9158045746618,29.9811745132022,30
314.5,32.6364638817896,30.8324949508421,29.9158045746618,29.9819299899593,30
315.0,32.6364638817896,30.8324949508421,29.9158045746618,29.9826578361653,30
315.5,32.6364638817896,30.8324949508421,29.9158045746618,29.9833590281666,30
316.0,32.6364638817896,30.8324949508421,29.9158045746618,29.9840345082938,30
316.5,32.6364638817896,30.8324949508421,29.9158045746618,29.9846851860394,30
317.0,32.6364638817896,30.8324949508421,29.9158045746618,29.9853119391952,30
