Time,T1Mesure,T2Mesure,T3Mesure,TECEntr_e_SortieAmpli,T1Vmesure_0_5V_,T2Vmesure_0_5V_,T3Vmesure_0_5V_,R_gulateurSortie,PerturbationCourant,T3Estimation,AmpliEntr_e,R_gulateurEntr_e,Consigne,T1Perturbation,T2Perturbation,T3Perturbation,PWM_DACSortie,TECSortie,T1R_sistance,T2R_sistance,T3R_sistance
181.5,18.450370056536,19.5500018575738,19.9793560210093,-0.141554984987469,3.3336559764355,3.13078502292775,3.05230591208434,-0.464970249627129,0,19.9160220241423,2.05764067191416,0.03575489557753,20,0,0,0,0,-0.446804154614448,13366.6564678589,12714.0854890422,12471.3161170027
182,18.450370056536,19.5500018575738,19.9793560210093,-0.140975271821518,3.3330508203903,3.1305288732137,3.05203333843104,-0.467097355954991,0,19.9177259211395,2.05945227555776,0.032909631544203,20,0,0,0,0,-0.44497434797744,13364.6541207649,12713.284576436,12470.4819733915
182.5,18.450370056536,19.5500018575738,19.9793560210093,-0.146738627769195,3.33266117700453,3.13027887842737,3.05176377177893,-0.467097355954991,0,19.9193828532552,2.04144178822126,0.032909631544203,20,0,0,0,0,-0.463165804690688,13363.3650459744,12712.5029631257,12469.6570928608
183,18.450370056536,19.5500018575738,20.0061981277353,-0.146453778785348,3.33227816288275,3.13003872750821,3.05149842701713,-0.467097355954991,0,19.9209942698972,2.04233194129579,0.032909631544203,20,0,0,0,0,-0.462266707358073,13362.0980417016,12711.7521775043,12468.8451905619
183.5,18.450370056536,19.5768306757732,20.0061981277353,-0.146495615597387,3.33189742786471,3.12980784861245,3.05123722029512,-0.467097355954991,0,19.9225615728123,2.04220120125817,0.032909631544203,20,0,0,0,0,-0.462398761071591,13360.8387128545,12711.0304258763,12468.0460071493
184,18.450370056536,19.5768306757732,20.0061981277353,-0.146929790659139,3.33151896240943,3.12958570250381,3.05098006891805,-0.469263184065369,0,19.9248177395755,2.04084440419019,0.0300729041697949,20,0,0,0,5,-0.463769191236506,13359.5870254199,12710.3360171577,12467.25928693
184.5,18.450370056536,19.5768306757732,20.0061981277353,-0.147567293235761,3.33114275770344,3.12937178255532,3.05072689195416,-0.469263184065369,0,19.9270072185792,2.03885220863825,0.0300729041697949,20,0,0,0,5,-0.465781404369355,13358.3429478193,12709.667362808,12466.4847797174
185,18.450370056536,19.5768306757732,20.0061981277353,-0.148150862415465,3.33076880157282,3.12916561277177,3.05047761019673,-0.469263184065369,0,19.9291321488795,2.03702855495167,0.0300729041697949,20,0,0,0,5,-0.467623382128174,13357.1064373907,12709.0229705806,12465.7222407106
185.5,18.450370056536,19.5768306757732,20.0061981277353,-0.148469525535713,3.33039707837233,3.12896674593185,3.0502321461267,-0.469263184065369,0,19.9311945979689,2.0360327327009,0.0300729041697949,20,0,0,0,5,-0.468629210400924,13355.8774400281,12708.4014386555,12464.971430375
186,18.4771875524129,19.5768306757732,20.0061981277353,-0.148367221559852,3.33002757007489,3.12877476184301,3.04999042387631,-0.471991114266473,0,19.933196564218,2.03635243262546,0.0267213743127883,20,0,0,0,0,-0.468306298131517,13354.655893788,12707.801450131,12464.2321143274
186.5,18.4771875524129,19.5768306757732,20.0061981277353,-0.14792556085116,3.32966025797001,3.12858926570226,3.04975236919324,-0.471991114266473,0,19.9351405001634,2.03773262234013,0.0267213743127883,20,0,0,0,0,-0.466912240270601,13353.4417345079,12707.2217678521,12463.5040632221
187,18.4771875524129,19.5768306757732,20.0061981277353,-0.147352976681873,3.32929512566586,3.12840988655644,3.04951790940581,-0.471991114266473,0,19.9370287602726,2.03952194786915,0.0267213743127883,20,0,0,0,0,-0.465104935598664,13352.2349057283,12706.6612295555,12462.7870526402
187.5,18.4771875524129,19.5768306757732,20.0061981277353,-0.146825468572891,3.32893215962651,3.12823627585581,3.04928697338875,-0.471991114266473,0,19.9388631004159,2.04117041070972,0.0267213743127883,20,0,0,0,0,-0.463439909003473,13351.0353604642,12706.1187433106,12462.0808629817
188,18.4771875524129,19.5768306757732,20.0061981277353,-0.146487801201946,3.3285713486888,3.1280681060956,3.04905949152984,-0.474401365653478,0,19.9406452181578,2.04222562124392,0.0237419127368781,20,0,0,0,0,-0.462374095713821,13349.8430596032,12705.5932832402,12461.3852793592
188.5,18.4771875524129,19.5768306757732,20.0061981277353,-0.146456630531632,3.32821268374115,3.12790506953962,3.04883539569719,-0.474401365653478,0,19.9423767547416,2.04232302958865,0.0237419127368781,20,0,0,0,0,-0.462275708610044,13348.6579708403,12705.0838855007,12460.7000914948
189,18.4771875524129,19.5768306757732,20.0061981277353,-0.146817476523741,3.32785615628844,3.12774687702189,3.04861461920732,-0.474401365653478,0,19.9440592970051,2.04119538586331,0.0237419127368781,20,0,0,0,5,-0.463414682899535,13347.4800639326,12704.5896445098,12460.0250936191
189.5,18.4771875524129,19.5768306757732,20.0061981277353,-0.147436601275724,3.32750175813232,3.12759325682022,3.04839709679382,-0.474401365653478,0,19.9456943792312,2.03926062101336,0.0237419127368781,20,0,0,0,5,-0.465368888266694,13346.3093096428,12704.1097094018,12459.360084372
190,18.4771875524129,19.5768306757732,20.0061981277353,-0.148049193569048,3.32714947883533,3.12744395359846,3.0481827645767,-0.476537124131141,0,19.9472834849338,2.03734627009672,0.0210866060264948,20,0,0,0,5,-0.467302474581344,13345.1456713619,12703.6432807007,12458.7048667059
190.5,18.4771875524129,19.5768306757732,20.0061981277353,-0.148435734610568,3.32679930413362,3.12729872741303,3.04797156003247,-0.476537124131141,0,19.948828048583,2.03613832934197,0.0210866060264948,20,0,0,0,5,-0.468522552724798,13343.9890998702,12703.1896071958,12458.0592477915
191,18.4771875524129,19.5768306757732,20.0061981277353,-0.148421938992898,3.32645121715278,3.12715735277952,3.04776342196478,-0.476537124131141,0,19.950329457271,2.03618144064719,0.0210866060264948,20,0,0,0,0,-0.468479008237184,13342.8395373594,12702.7479830074,12457.4230389249
191.5,18.4771875524129,19.5768306757732,20.0061981277353,-0.148030588735279,3.32610519988392,3.12701961779582,3.04755829047585,-0.476537124131141,0,19.9517890523203,2.03740441020225,0.0210866060264948,20,0,0,0,0,-0.467243750284033,13341.6969223096,12702.3177448313,12456.7960554376
192,18.4771875524129,19.5768306757732,20.0061981277353,-0.147469047705914,3.32576123608437,3.12688532331881,3.04735610693826,-0.478432868727509,0,19.9532081308369,2.03915922591902,0.0187167476652292,20,0,0,0,0,-0.465471302178947,13340.5611990685,12701.8982693519,12456.1781166078
192.5,18.4771875524129,19.5768306757732,20.0061981277353,-0.146919992687618,3.32541931246705,3.12675428219066,3.04715681396768,-0.478432868727509,0,19.9545879472102,2.04087502285119,0.0187167476652292,20,0,0,0,0,-0.463738264919198,13339.4323217746,12701.488970812,12455.5690455741
193,18.5040049335426,19.5768306757732,20.0061981277353,-0.146534165172317,3.3250794181874,3.12662631851233,3.0469603553959,-0.478432868727509,0,19.9559297145611,2.04208073383651,0.0187167476652292,20,0,0,0,0,-0.462520438949901,13338.3102526587,12701.0892987313,12454.9686692511
193.5,18.5040049335426,19.5768306757732,20.033041229717,-0.146433622878278,3.32474154450544,3.12650126696095,3.04676667624474,-0.478432868727509,0,19.957235127068,2.04239492850538,0.0187167476652292,20,0,0,0,0,-0.462203087252997,13337.1949609243,12700.6987357637,12454.376818247
194,18.5040049335426,19.5768306757732,20.033041229717,-0.146715351425178,3.32440568380823,3.12637897214883,3.04657572270022,-0.480119436427458,0,19.9585058068085,2.04151452679632,0.0165976772765987,20,0,0,0,5,-0.463092335238433,13336.0864195175,12700.3167956851,12453.7933267825
194.5,18.5040049335426,19.5768306757732,20.033041229717,-0.147305501594292,3.32407182841036,3.1262592880212,3.04638744208752,-0.480119436427458,0,19.9597428023385,2.03967030751784,0.0165976772765987,20,0,0,0,5,-0.464955085232222,13334.9846011667,12699.9430215033,12453.2180326121
195,18.5040049335426,19.5768306757732,20.033041229717,-0.147938352265185,3.323739969537,3.1261420772902,3.04620178284631,-0.480119436427458,0,19.9609471281185,2.0376926491713,0.0165976772765987,20,0,0,0,5,-0.466952615089828,13333.8894750271,12699.5769836823,12452.6507769467
195.5,18.5040049335426,19.5768306757732,20.033041229717,-0.148385638332728,3.32341009428236,3.12602721090367,3.04601869450676,-0.480119436427458,0,19.9621197656641,2.03629488021023,0.0165976772765987,20,0,0,0,5,-0.468364428833421,13332.800996646,12699.218278476,12452.0914043781
196,18.5040049335426,19.5768306757732,20.033041229717,-0.148461237919464,3.32308218693859,3.12591456754587,3.0458381276659,-0.481627436941153,0,19.9632616646573,2.03605863150167,0.0146953341370732,20,0,0,0,0,-0.468603051368997,13331.7191123538,12698.8665263622,12451.5397628051
196.5,18.5040049335426,19.5768306757732,20.033041229717,-0.148128923337455,3.32275623029793,3.12580403316855,3.04566003396466,-0.481627436941153,0,19.9643737440199,2.03709711457045,0.0146953341370732,20,0,0,0,0,-0.467554133622344,13330.6437635635,12698.5213705721,12450.9957033612
197,18.5040049335426,19.5768306757732,20.033041229717,-0.147585720098669,3.32243220824643,3.12569550055042,3.04548436606534,-0.481627436941153,0,19.9654568929492,2.03879462469166,0.0146953341370732,20,0,0,0,0,-0.465839566919439,13329.5748953281,12698.1824757091,12450.4590803442
197.5,18.5040049335426,19.5768306757732,20.033041229717,-0.147021137426579,3.32211010768528,3.12558886888353,3.04531107762954,-0.481627436941153,0,19.9665119719189,2.04055894554194,0.0146953341370732,20,0,0,0,0,-0.464057518173253,13328.5124626761,12697.8495264524,12449.929751147
198,18.5040049335426,19.5768306757732,20.033041229717,-0.146592023676055,3.32178991803178,3.12548404338461,3.04514012329662,-0.4829794468356,0,19.9675398136459,2.04189992601233,0.0129840745416487,20,0,0,0,0,-0.462703063531101,13327.4564289608,12697.5222263385,12449.40757619
198.5,18.5040049335426,19.5768306757732,20.033041229717,-0.146425943301368,3.32147163086433,3.12538093493005,3.04497145866265,-0.4829794468356,0,19.9685412240228,2.04241892718322,0.0129840745416487,20,0,0,0,0,-0.462178847436438,13326.4067646854,12697.2002966172,12448.8924188556
199,18.5040049335426,19.5768306757732,20.033041229717,-0.146625774537305,3.3211552393206,3.12527945971297,3.04480504025973,-0.4829794468356,0,19.9695169830198,2.04179445457092,0.0129840745416487,20,0,0,0,5,-0.46280959474955,13325.3634455151,12696.8834751776,12448.3841454228
199.5,18.5040049335426,19.5768306757732,20.033041229717,-0.147175959987301,3.32084073610962,3.12517953892138,3.0446408255359,-0.4829794468356,0,19.9704678455547,2.04007512503968,0.0129840745416487,20,0,0,0,5,-0.464546200103917,13324.3264457209,12696.571515539,12447.8826250052
200,18.5040049335426,19.5768306757732,20.033041229717,-0.147819954981419,3.32052811403098,3.12508109843498,3.04447877283529,-0.484194402337039,0,19.9713945423339,2.03806264068306,0.0114421830664369,20,0,0,0,5,-0.466578905903352,13323.295739891,12696.2641859017,12447.3877294882
200.5,18.5308222195507,19.6036601790476,20.033041229717,-0.148320541212574,3.32021736151706,3.12498406854149,3.04431884137876,-0.484194402337039,0,19.9722977806636,2.03649830871071,0.0114421830664369,20,0,0,0,5,-0.468158956283369,13322.2712882358,12695.9612682579,12446.8993334693
201,18.5308222195507,19.6036601790476,20.033041229717,-0.148483186209645,3.31990846402603,3.12488838366928,3.04416099124515,-0.484194402337039,0,19.9739104067145,2.03599004309486,0.0114421830664369,20,0,0,0,0,-0.468672328952123,13321.2530411857,12695.6625575546,12446.4173141984
201.5,18.5308222195507,19.6036601790476,20.033041229717,-0.148218939457866,3.3196014052493,3.12479398213663,3.04400518335254,-0.484194402337039,0,19.9754766885094,2.03681581419417,0.0114421830664369,20,0,0,0,0,-0.467838260504808,13320.2409433746,12695.3678609085,12445.9415515206
202,18.5308222195507,19.6036601790476,20.033041229717,-0.14770164156302,3.31929616921234,3.12470080591616,3.04385137944039,-0.486138668133776,0,19.9769980896279,2.03843237011556,0.00920076414883795,20,0,0,0,0,-0.466205461429517,13319.234940566,12695.076996868,12445.4719278195
202.5,18.5308222195507,19.6036601790476,20.033041229717,-0.153392569294061,3.31920460442371,3.12461259927472,3.04370072326328,-0.486138668133776,0,19.9784760250454,2.02064822095606,0.00920076414883795,20,0,0,0,0,-0.484168305719773,13318.9331764958,12694.8016530096,12445.0119344406
203,18.5308222195507,19.6036601790476,20.033041229717,-0.152931513882488,3.31911795806592,3.12453308713309,3.04355441544195,-0.486138668133776,0,19.9799118627863,2.02208901911722,0.00920076414883795,20,0,0,0,0,-0.482713030418687,13318.6476289675,12694.5534554309,12444.5652357936
203.5,18.5308222195507,19.6036601790476,20.033041229717,-0.152710538527741,3.31903182304539,3.1244617294315,3.04341235757057,-0.486138668133776,0,19.98130692552,2.02277956710081,0.00920076414883795,20,0,0,0,0,-0.482015543808961,13318.3637735089,12694.3307166029,12444.1315298628
204,18.5308222195507,19.6036601790476,20.033041229717,-0.152834175641524,3.31894620076243,3.12439801690918,3.0432744527515,-0.488146224205423,0,19.9826624921032,2.02239320112024,0.00693500315872342,20,0,0,0,5,-0.482405791994907,13318.081614611,12694.1318454427,12443.7105193289
