Time,T1Mesure,T2Mesure,T3Mesure,TECEntr_e_SortieAmpli,R_gulateurSortie,PerturbationCourant,T3Estimation,AmpliEntr_e,R_gulateurEntr_e,Consigne,T1Perturbation,T2Perturbation,T3Perturbation,PWM_V_,TECSortie,T3Vmesure,T2Vmesure,T1Vmesure,T1R_sistance,T2R_sistance,T3R_sistance
33.3,19.346507842558,21.5226740247477,22.439613761382,-0.417393354041291,-1.36608273509161,0,22.6676656663675,1.19564576862097,-1.08891370803511,20,0,0,0,0,-1.31746038269593,2.27433931283642,2.44114489656556,2.83915007899162,12830.629409939,11638.9515207942,11175.7169350428
33.35,19.346507842558,21.5226740247477,22.439613761382,-0.417045163072962,-1.36608273509161,0,22.6676656663675,1.19673386539699,-1.08891370803511,20,0,0,0,5,-1.3163613527235,2.28105630635774,2.44808779655696,2.84637084777719,12833.7649029137,11640.9794881235,11177.0449728649
33.4,19.346507842558,21.5226740247477,22.439613761382,-0.417315529324477,-1.36608273509161,0,22.6676656663675,1.19588897086101,-1.08891370803511,20,0,0,0,0,-1.31721473675978,2.27804394417762,2.44530077211897,2.84386155180019,12836.8995900595,11643.0067365721,11178.3736709101
33.45,19.346507842558,21.5226740247477,22.439613761382,-0.417148600799664,-1.36608273509161,0,22.6676656663675,1.19641062250105,-1.08891370803511,20,0,0,0,5,-1.31668784356406,2.26948679183837,2.43696839037832,2.83580662989622,12840.0330668096,11645.0332674787,11179.7030268593
33.5,19.2928607328531,21.4957454621609,22.4126033591664,-0.417237857022438,-1.36608273509161,0,22.6386667110662,1.19613169680488,-1.08891370803511,20,0,0,0,0,-1.31696957190562,2.28084968717313,2.44855549074646,2.84767105033713,12843.1657413799,11647.059082172,11181.0330383977
33.55,19.2928607328531,21.4957454621609,22.4126033591664,-0.417255604527611,-1.36608273509161,0,22.6386667110662,1.19607623585122,-1.08891370803511,20,0,0,0,5,-1.31702559013095,2.2762620692818,2.4441915138963,2.84358412356717,12846.2972028351,11649.0841819735,11182.3637032155
33.6,19.2928607328531,21.4957454621609,22.4126033591664,-0.417161559138424,-1.36608273509161,0,22.6386667110662,1.19637012769242,-1.08891370803511,20,0,0,0,0,-1.31672874526452,2.27760199534584,2.44575451857677,2.84542403809137,12849.4278624298,11651.1085681971,11183.6950190081
33.65,19.2928607328531,21.4957454621609,22.4126033591664,-0.417363611447425,-1.36608273509161,0,22.6386667110662,1.1957387142268,-1.08891370803511,20,0,0,0,5,-1.31736650317265,2.27710635743485,2.44548139841907,2.84542755753348,12852.5573096838,11653.132242147,11185.0269834755
33.7,19.2928607328531,21.4957454621609,22.4126033591664,-0.417086727618078,-1.36608273509161,0,22.6386667110662,1.19660397619351,-1.08891370803511,20,0,0,0,0,-1.3164925470537,2.28079556894315,2.44939256837428,2.84961522535368,12855.6859521126,11655.1552051226,11186.3595943233
33.75,19.2928607328531,21.4957454621609,22.4126033591664,-0.417470145013083,-1.36608273509161,0,22.6386667110662,1.19540579683411,-1.08891370803511,20,0,0,0,5,-1.3177027657193,2.28008864511931,2.44890704524142,2.84940593056788,12858.8133860332,11657.1774584112,11187.692849261
33.8,19.2928607328531,21.4957454621609,22.4126033591664,-0.417013959190129,-1.36608273509161,0,22.6386667110662,1.19683137753085,-1.08891370803511,20,0,0,0,0,-1.31626286078772,2.27421736805775,2.44325661266093,2.84403158216968,12861.9400091734,11659.1990032973,11189.0267460044
33.85,19.2928607328531,21.4957454621609,22.4126033591664,-0.417572962826567,-1.36608273509161,0,22.6386667110662,1.19508449116698,-1.08891370803511,20,0,0,0,5,-1.31802729986578,2.27290859087145,2.44216812528515,2.84321891112751,12865.0654305936,11661.2198410519,11190.3612822723
33.9,19.2928607328531,21.4957454621609,22.4126033591664,-0.416943872846156,-1.36608273509161,0,22.6386667110662,1.19705039735576,-1.08891370803511,20,0,0,0,0,-1.31604164025161,2.27866198819925,2.44814125928838,2.84946771396416,12868.1900323659,11663.2399729451,11191.6964557907
33.95,19.2928607328531,21.4957454621609,22.4126033591664,-0.417669637065142,-1.36608273509161,0,22.6386667110662,1.19478238417143,-1.08891370803511,20,0,0,0,5,-1.31833244243242,2.28484516391336,2.45454362007116,2.85614547828464,12871.3134419785,11665.2594002314,11193.0322642881
34,19.2392155406765,21.4418945198066,22.385595684958,-0.41687672086791,-1.33925372713047,0,22.6098263264562,1.19726024728778,-1.04393053058247,20,0,0,0,0,-1.31582968174747,2.28642828674528,2.45634537789002,2.85822248803048,12874.4360205728,11667.2781241664,11194.3687055003
34.05,19.2392155406765,21.4418945198066,22.385595684958,-0.411480431878124,-1.33925372713047,0,22.6098263264562,1.21412365038086,-1.04393053058247,20,0,0,0,5,-1.29879683518011,2.27959072183991,2.4497258809353,2.85186052911006,12877.5019768625,11669.2960701896,11195.7057549381
