Temps (s),T1 (�C),T2 (�C),T3 (�C)  courant tec = 500mA, perturbation à 50secondes
Temps (s), T1 (�C), T2 (�C), T3 (�C)
744,32.86,32.08,30.81
745,32.84,32.08,30.81
746,32.82,32.04,30.83
747,32.77,32.04,30.83
748,32.77,32.04,30.83
749,32.80,32.06,30.79
750,32.80,32.06,30.81
751,32.80,32.06,30.83
752,32.82,32.04,30.83
753,32.80,32.08,30.81
754,32.80,32.06,30.85
755,32.80,32.08,30.87
756,32.82,32.06,30.87
757,32.82,32.08,30.87
758,32.82,32.04,30.87
759,32.82,32.08,30.83
761,32.84,32.08,30.85
762,32.86,32.06,30.83
763,32.86,32.08,30.83
764,32.84,32.11,30.83
765,32.86,32.11,30.85
766,32.84,32.11,30.85
767,32.84,32.06,30.87
768,32.84,32.06,30.85
769,32.82,32.08,30.81
770,32.84,32.06,30.81
771,32.82,32.08,30.79
772,32.82,32.08,30.79
773,32.84,32.06,30.77
774,32.84,32.08,30.77
775,32.82,32.08,30.79
776,32.82,32.08,30.81
777,32.86,32.08,30.81
778,32.82,32.06,30.83
779,32.84,32.08,30.81
780,32.86,32.08,30.81
781,32.84,32.06,30.83
782,32.82,32.06,30.81
783,32.80,32.04,30.81
784,32.75,32.06,30.85
785,32.75,32.04,30.85
786,32.73,32.04,30.87
787,32.73,32.06,30.83
788,32.71,32.08,30.83
789,32.71,32.06,30.83
790,32.71,32.06,30.83
791,32.73,32.02,30.83
792,32.75,32.04,30.81
793,32.75,32.02,30.81
794,32.75,32.04,30.81
795,32.80,32.04,30.81
796,32.80,32.04,30.81
797,32.82,32.08,30.77
798,32.82,32.06,30.79
799,32.75,32.06,30.77
800,32.75,32.08,30.77
801,32.75,32.08,30.79
802,32.75,32.08,30.77
803,32.75,32.08,30.79
804,32.73,32.08,30.81
805,32.73,32.13,30.81
806,32.73,32.08,30.83
807,32.71,32.08,30.85
808,32.71,32.08,30.85
809,32.73,32.11,30.85
810,32.73,32.11,30.85
811,32.68,32.11,30.85
812,32.68,32.13,30.83
813,32.68,32.15,30.87
814,32.68,32.15,30.85
815,32.68,32.13,30.85
816,32.68,32.17,30.83
817,32.68,32.15,30.83
818,32.66,32.17,30.83
819,32.64,32.19,30.83
820,32.66,32.15,30.81
821,32.64,32.15,30.83
822,32.64,32.13,30.83
823,32.64,32.15,30.83
824,32.66,32.15,30.85
825,32.66,32.15,30.81
826,32.68,32.11,30.83
827,32.73,32.17,30.85
828,32.75,32.17,30.85
829,32.82,32.17,30.85
830,32.82,32.17,30.85
831,32.82,32.15,30.90
832,32.77,32.17,30.92
833,32.80,32.15,30.90
834,32.77,32.13,30.92
835,32.77,32.11,30.90
836,32.82,32.11,30.90
837,32.84,32.13,30.94
838,32.84,32.13,30.94
839,32.86,32.15,30.90
840,32.88,32.11,30.92
841,32.88,32.11,30.90
842,32.88,32.11,30.87
843,32.91,32.13,30.87
844,32.88,32.13,30.85
845,32.91,32.11,30.85
846,32.88,32.13,30.85
847,32.88,32.11,30.85
848,32.88,32.11,30.83
849,32.91,32.08,30.85
850,32.93,32.08,30.85
851,32.93,32.11,30.83
852,32.93,32.11,30.81
853,32.91,32.11,30.79
854,32.93,32.11,30.77
855,32.93,32.11,30.79
856,32.93,32.13,30.79
857,32.93,32.08,30.79
858,32.91,32.11,30.79
859,32.88,32.11,30.79
860,32.93,32.08,30.79
861,32.93,32.08,30.79
862,32.91,32.11,30.79
863,32.93,32.11,30.79
864,32.95,32.11,30.77
865,32.95,32.11,30.79
866,32.95,32.08,30.81
867,32.95,32.11,30.81
868,32.95,32.08,30.79
869,32.95,32.06,30.81
870,32.95,32.06,30.83
871,32.93,32.06,30.83
872,32.91,32.08,30.81
873,32.93,32.08,30.83
874,32.93,32.08,30.83
875,32.91,32.11,30.87
876,32.93,32.08,30.85
877,32.93,32.13,30.81
878,32.93,32.13,30.85
879,32.93,32.13,30.81
880,32.93,32.11,30.79
881,32.93,32.13,30.81
882,32.93,32.13,30.79
883,32.95,32.08,30.81
884,32.95,32.11,30.81
885,32.93,32.11,30.81
886,32.93,32.11,30.79
887,32.91,32.11,30.81
888,32.93,32.11,30.81
889,32.95,32.11,30.81
890,32.95,32.13,30.79
891,32.95,32.13,30.85
892,32.93,32.13,30.81
893,32.95,32.08,30.81
894,32.93,32.11,30.79
895,32.93,32.11,30.83
896,32.93,32.11,30.81
897,32.95,32.13,30.81
898,32.93,32.11,30.81
899,32.95,32.13,30.81
900,32.91,32.11,30.79
901,32.95,32.08,30.79
902,32.93,32.13,30.77
903,32.97,32.11,30.81
904,32.97,32.15,30.79
905,32.95,32.15,30.79
906,32.97,32.15,30.79
907,32.97,32.13,30.81
908,32.97,32.13,30.79
909,33.00,32.13,30.79
910,32.95,32.13,30.83
911,32.93,32.13,30.81
912,32.93,32.13,30.81
913,32.88,32.13,30.83
914,32.84,32.13,30.81
915,32.82,32.11,30.81
916,32.80,32.13,30.79
917,32.75,32.13,30.79
918,32.71,32.11,30.81
919,32.71,32.11,30.81
920,32.68,32.11,30.79
921,32.62,32.11,30.79
922,32.66,32.11,30.81
923,32.64,32.11,30.81
924,32.64,32.11,30.81
925,32.64,32.11,30.81
926,32.62,32.08,30.81
927,32.62,32.13,30.79
928,32.62,32.13,30.83
929,32.62,32.13,30.83
930,32.62,32.13,30.83
931,32.62,32.15,30.83
932,32.62,32.15,30.83
933,32.62,32.11,30.83
934,32.59,32.15,30.85
935,32.57,32.13,30.83
936,32.59,32.08,30.81
937,32.64,32.13,30.81
938,32.64,32.13,30.79
939,32.62,32.13,30.81
940,32.59,32.11,30.83
941,32.59,32.08,30.83
942,32.57,32.08,30.83
943,32.57,32.08,30.83
944,32.55,32.08,30.83
945,32.53,32.11,30.81
946,32.55,32.11,30.79
947,32.55,32.08,30.83
948,32.57,32.11,30.81
949,32.62,32.11,30.83
950,32.62,32.11,30.81
951,32.64,32.08,30.83
952,32.66,32.08,30.81
953,32.68,32.06,30.81
954,32.68,32.04,30.83
955,32.71,32.04,30.81
956,32.73,32.04,30.83
957,32.71,32.04,30.81
958,32.75,32.04,30.83
959,32.71,32.04,30.83
960,32.75,32.04,30.81
961,32.75,32.08,30.77
962,32.80,32.04,30.81
963,32.75,32.08,30.81
964,32.77,32.04,30.81
965,32.71,32.08,30.81
966,32.73,32.08,30.83
967,32.75,32.08,30.81
968,32.75,32.11,30.79
969,32.77,32.11,30.79
970,32.75,32.08,30.79
971,32.82,32.08,30.77
972,32.75,32.11,30.79
973,32.82,32.06,30.79
974,32.80,32.08,30.77
975,32.82,32.08,30.74
976,32.82,32.08,30.72
977,32.82,32.08,30.72
978,32.77,32.04,30.74
979,32.80,32.04,30.74
980,32.80,32.04,30.74
981,32.80,32.02,30.72
982,32.80,32.04,30.72
983,32.82,32.04,30.74
984,32.80,32.06,30.77
985,32.82,32.04,30.79
