Temps (s),T1 (°C),T2 (°C),T3 (°C),T4 (°C)
Temps (s), T1 (°C), T2 (°C), T3 (°C), T4 (°C)
456,10.76,14.31,15.21,24.95
457,10.76,14.31,15.21,24.95
458,10.76,14.31,15.21,24.95
459,10.85,14.31,15.21,25.04
460,10.76,14.31,15.21,24.95
461,10.76,14.31,15.21,24.95
462,10.76,14.31,15.21,24.95
463,10.76,14.31,15.21,25.04
464,10.76,14.31,15.21,24.95
465,10.76,14.31,15.21,25.04
466,10.76,14.31,15.21,25.04
467,10.76,14.31,15.21,25.04
468,10.67,14.31,15.21,25.04
469,10.76,14.22,15.21,24.95
470,10.67,14.31,15.12,24.95
471,10.67,14.22,15.12,24.95
472,10.67,14.31,15.12,24.95
473,10.67,14.31,15.12,24.95
474,10.67,14.22,15.12,25.04
475,10.67,14.31,15.12,25.04
476,10.76,14.22,15.12,25.04
477,10.76,14.22,15.12,25.04
478,10.76,14.22,15.12,24.95
479,10.76,14.22,15.12,25.04
480,10.76,14.22,15.12,24.95
481,10.76,14.31,15.12,25.04
482,10.67,14.22,15.12,24.95
483,10.76,14.22,15.12,24.95
484,10.76,14.22,15.12,24.95
485,10.67,14.22,15.12,25.04
486,10.67,14.22,15.12,24.95
487,10.67,14.31,15.12,25.04
488,10.67,14.22,15.12,24.95
489,10.67,14.22,15.12,24.95
490,10.67,14.22,15.12,25.04
491,10.67,14.22,15.12,25.04
492,10.67,14.31,15.12,24.95
493,10.67,14.22,15.12,25.04
494,10.67,14.22,15.12,25.04
495,10.67,14.22,15.12,25.04
496,10.67,14.22,15.12,24.95
497,10.67,14.22,15.12,25.04
498,10.67,14.22,15.12,25.04
499,10.67,14.22,15.12,25.04
500,10.67,14.22,15.12,25.04
501,10.67,14.22,15.12,25.04
502,10.67,14.22,15.03,24.95
503,10.57,14.22,15.12,24.95
504,10.57,14.22,15.12,24.95
505,10.67,14.22,15.12,24.95
506,10.67,14.13,15.03,24.95
507,10.67,14.22,15.03,24.95
508,10.67,14.22,15.03,24.95
509,10.67,14.22,15.12,24.95
510,10.67,14.22,15.03,25.04
511,10.57,14.22,15.03,24.95
512,10.67,14.22,15.03,25.04
513,10.67,14.22,15.03,24.95
514,10.67,14.22,15.03,24.95
515,10.67,14.22,15.03,24.95
516,10.57,14.22,15.03,24.95
517,10.57,14.22,15.03,24.95
518,10.57,14.13,15.03,24.95
519,10.57,14.13,15.03,24.95
520,10.57,14.13,15.03,24.95
521,10.57,14.13,15.03,24.95
522,10.57,14.13,15.03,24.95
523,10.57,14.13,15.03,24.95
524,10.57,14.13,15.03,24.95
525,10.57,14.13,15.03,24.95
526,10.57,14.13,15.03,24.95
527,10.57,14.13,15.03,24.95
528,10.57,14.13,15.03,24.95
529,10.57,14.13,15.03,24.95
530,10.57,14.13,15.03,24.95
531,10.48,14.13,14.94,24.95
532,10.48,14.13,14.94,24.95
533,10.48,14.13,14.94,24.95
534,10.57,14.13,15.03,24.95
535,10.57,14.13,14.94,24.95
536,10.76,14.13,15.03,24.95
537,10.48,14.13,14.94,24.95
538,10.57,14.13,15.03,24.95
539,10.57,14.13,14.94,24.95
540,10.57,14.13,15.03,24.95
541,10.57,14.13,15.03,24.95
542,10.57,14.13,15.12,24.95
543,10.57,14.04,15.03,24.86
544,10.57,14.13,15.03,24.95
545,10.48,14.13,15.03,24.95
546,10.57,14.13,15.03,24.95
547,10.57,14.13,15.03,24.95
548,10.57,14.13,15.12,25.04
549,10.57,14.13,15.12,24.95
550,10.57,14.13,15.12,24.95
551,10.57,14.13,15.03,24.95
552,10.67,14.13,15.03,24.95
553,10.57,14.13,15.12,24.95
554,10.57,14.13,15.12,24.95
555,10.57,14.13,15.03,24.95
556,10.57,14.22,15.12,25.04
557,10.57,14.13,15.12,24.95
558,10.57,14.13,15.12,24.95
559,10.57,14.13,15.12,25.04
560,10.57,14.22,15.12,25.04
561,10.57,14.22,15.12,25.04
562,10.67,14.22,15.12,24.95
563,10.57,14.13,15.12,24.95
564,10.67,14.22,15.12,25.04
565,10.57,14.22,15.03,25.04
566,10.76,14.22,15.03,25.04
567,10.85,14.31,15.03,24.95
568,10.76,14.31,15.12,24.95
569,10.85,14.31,15.12,25.04
570,10.85,14.31,15.12,25.04
571,10.94,14.31,15.12,25.04
572,10.85,14.31,15.03,25.04
573,10.85,14.31,15.03,25.04
574,10.85,14.22,15.03,25.04
575,10.94,14.31,15.12,25.13
576,10.76,14.31,15.12,25.13
577,10.76,14.22,15.12,25.04
578,10.76,14.31,15.03,25.04
579,10.85,14.22,15.03,25.13
580,10.85,14.31,15.03,25.13
581,10.76,14.22,15.03,25.04
582,10.76,14.22,15.03,25.13
583,10.76,14.22,15.03,25.13
584,10.76,14.22,15.03,25.13
585,10.76,14.22,15.12,25.13
586,10.76,14.22,15.12,25.13
587,10.67,14.22,15.12,25.04
588,10.76,14.22,15.03,25.04
589,10.67,14.22,15.12,25.13
590,10.67,14.31,15.12,25.13
591,10.76,14.22,15.12,25.13
592,10.76,14.22,15.12,25.13
593,10.85,14.22,15.12,25.13
594,10.76,14.22,15.12,25.04
595,10.67,14.31,15.12,25.13
596,10.76,14.22,15.12,25.13
597,10.76,14.22,15.12,25.13
598,10.67,14.31,15.12,25.13
599,10.67,14.22,15.12,25.13
600,10.67,14.22,15.12,25.13
601,10.67,14.22,15.12,25.13
602,10.57,14.13,15.12,25.13
603,10.67,14.22,15.12,25.04
604,10.67,14.22,15.12,25.13
605,10.67,14.22,15.12,25.13
606,10.57,14.22,15.12,25.13
607,10.57,14.13,15.03,25.04
608,10.67,14.13,15.03,25.13
609,10.67,14.13,15.12,25.13
611,10.57,14.13,15.03,25.13
612,10.57,14.13,15.12,25.13
613,10.57,14.13,15.03,25.22
614,10.57,14.13,15.03,25.22
615,10.57,14.22,15.03,25.13
616,10.57,14.13,15.03,25.13
617,10.57,14.13,14.94,25.13
618,10.67,14.13,15.03,25.13
619,10.57,14.13,14.94,25.13
620,10.57,14.13,15.03,25.13
621,10.67,14.22,14.94,25.13
622,10.67,14.13,15.03,25.13
623,10.67,14.13,15.03,25.04
624,10.76,14.13,15.03,25.04
625,10.57,14.22,15.12,25.13
626,10.67,14.22,15.03,25.13
627,10.67,14.13,15.03,25.13
628,10.67,14.13,15.03,25.13
629,10.67,14.13,15.03,25.13
630,10.67,14.22,15.03,25.13
631,10.67,14.22,15.03,25.13
632,10.76,14.22,15.03,25.13
633,10.76,14.22,15.03,25.13
634,10.76,14.22,15.03,25.22
635,10.85,14.22,15.03,25.13
636,10.76,14.13,15.03,25.13
637,10.67,14.13,14.94,25.13
638,10.67,14.22,15.12,25.13
639,10.76,14.22,14.94,25.13
640,10.85,14.22,15.03,25.13
641,10.85,14.22,15.03,25.13
642,10.76,14.22,14.94,25.13
643,10.76,14.22,15.03,25.13
644,10.85,14.22,15.03,25.13
645,10.76,14.22,15.03,25.13
646,10.76,14.22,15.03,25.13
647,10.76,14.13,15.12,25.13
648,10.76,14.22,15.12,25.13
649,10.76,14.22,15.12,25.13
650,10.67,14.22,15.12,25.13
651,10.67,14.22,15.12,25.13
652,10.85,14.22,15.21,25.13
653,10.76,14.22,15.21,25.13
654,10.76,14.22,15.21,25.13
655,10.85,14.22,15.21,25.13
656,10.85,14.22,15.21,25.13
657,10.85,14.22,15.21,25.13
658,10.85,14.22,15.21,25.13
659,10.76,14.22,15.21,25.22
660,10.76,14.22,15.21,25.22
