Time,T1Mesure,T2Mesure,T3Mesure,PWMDutycycle,TECEntr_e_SortieAmpli,R_gulateurSortie,PerturbationCourant,T3Estimation,AmpliEntr_e,R_gulateurEntr_e,Consigne,T1Perturbation,T2Perturbation,T3Perturbation,PWMSortie,TECSortie,T3Vmesure,T2Vmesure,T1Vmesure,T1R_sistance,T2R_sistance,T3R_sistance
1517.1,17.8714272508065,19.5342900728234,19.9367970603266,104,-0.148372316900448,-0.480669573230045,0,20.1627346123725,2.0363365096861,-0.0637083561883443,20,0,0,0,0,-0.468322381064575,2.72445993320433,2.79952228269753,3.10401190165062,13678.7565412722,12687.3949907918,12455.6298671607
1517.15,17.8714272508065,19.5342900728234,19.9367970603266,104,-0.146501879462391,-0.480669573230045,0,20.1627346123725,2.04218162668003,-0.0637083561883443,20,0,0,0,0,-0.462418532335091,2.7129666113793,2.78803464507948,3.09245588465985,13678.5005538734,12687.3732966942,12455.5912426172
1517.2,17.8714272508065,19.5342900728234,19.9367970603266,104,-0.148304035598925,-0.480669573230045,0,20.1627346123725,2.03654988875336,-0.0637083561883443,20,0,0,0,0,-0.468106857964446,2.71004808006681,2.7851217972411,3.08947471838619,13678.2447977934,12687.3516198265,12455.5526372853
1517.25,17.8714272508065,19.5342900728234,19.9367970603266,104,-0.146557499249133,-0.480669573230045,0,20.1627346123725,2.04200781484646,-0.0637083561883443,20,0,0,0,5,-0.462594090629964,2.72945776090254,2.80453716079017,3.10882176145607,13677.9890589058,12687.3299600876,12455.514051151
1517.3,17.8714272508065,19.5342900728234,19.9367970603266,104,-0.148226192257815,-0.480669573230045,0,20.1627346123725,2.03679314919433,-0.0637083561883443,20,0,0,0,0,-0.467861153242566,2.72044633217034,2.79553141397457,3.09974776173427,13677.7335736111,12687.3083173474,12455.4754841968
1517.35,17.8714272508065,19.5342900728234,19.9367970603266,104,-0.146632113018929,-0.480669573230045,0,20.1627346123725,2.04177464681585,-0.0637083561883443,20,0,0,0,5,-0.462829601532947,2.71471804662412,2.78980880952061,3.09395689603263,13677.4780838486,12687.2866915057,12455.4369364086
1517.4,17.8714272508065,19.5342900728234,19.9367970603266,104,-0.148134041752197,-0.480669573230045,0,20.1627346123725,2.03708111952438,-0.0637083561883443,20,0,0,0,0,-0.467570289386635,2.71028954254167,2.78538598567144,3.08946588514215,13677.2228699497,12687.2650824365,12455.398407769
1517.45,17.8714272508065,19.5342900728234,19.9367970603266,104,-0.146721704987006,-0.480669573230045,0,20.1627346123725,2.04149467191561,-0.0637083561883443,20,0,0,0,5,-0.463112389620985,2.71356587542544,2.78866799790239,3.09267969540851,13676.967628965,12687.2434900411,12455.3598982638
1517.5,17.8714272508065,19.5342900728234,19.963637697384,104,-0.148035696431842,-0.480669573230045,0,20.1620423082351,2.03738844865049,-0.0637083561883443,20,0,0,0,0,-0.467259872217467,2.72895271438947,2.80406051529407,3.10800409115803,13676.7126843608,12687.2219141976,12455.3214078758
1517.55,17.8714272508065,19.5342900728234,19.963637697384,104,-0.146823834619941,-0.480669573230045,0,20.1620423082351,2.04117551681269,-0.0637083561883443,20,0,0,0,5,-0.463434751594381,2.72495902593896,2.80007250432492,3.10394793814195,13676.4576937988,12687.2003548081,12455.2829365908
1517.6,17.8714272508065,19.5342900728234,19.963637697384,104,-0.147930661606087,-0.480669573230045,0,20.1620423082351,2.03771668248098,-0.0637083561883443,20,0,0,0,0,-0.466928340293453,2.71536397800646,2.7904831328954,3.0942905101362,13676.2030168502,12687.1788117552,12455.2444843917
1517.65,17.8714272508065,19.5342900728234,19.963637697384,104,-0.146936145122487,-0.480669573230045,0,20.1620423082351,2.04082454649223,-0.0637083561883443,20,0,0,0,5,-0.463789248464617,2.7132438333766,2.78836866376364,3.09210795936601,13675.9482778785,12687.1572849417,12455.2060512641
1517.7,17.8714272508065,19.5342900728234,19.963637697384,104,-0.147820504694185,-0.480669573230045,0,20.1620423082351,2.03806092283067,-0.0637083561883443,20,0,0,0,0,-0.466580641016727,2.73067395166703,2.80580445651655,3.10947576023783,13675.6938668301,12687.1357742547,12455.1676371912
1517.75,17.8714272508065,19.5342900728234,19.963637697384,104,-0.147056361763018,-0.480669573230045,0,20.1620423082351,2.04044886949057,-0.0637083561883443,20,0,0,0,5,-0.46416870026879,2.72207132262769,2.79720750087777,3.10081078388649,13675.4393807173,12687.1142795973,12455.1292421585
1517.8,17.8714272508065,19.5342900728234,19.963637697384,104,-0.147706736982106,-0.480669573230045,0,20.1620423082351,2.03841644693092,-0.0637083561883443,20,0,0,0,0,-0.466221544610319,2.72682450785479,2.80196635841416,3.10550171383613,13675.1852337231,12687.0928008614,12455.0908661494
1517.85,17.8714272508065,19.5342900728234,19.963637697384,104,-0.14718228531067,-0.480669573230045,0,20.1620423082351,2.04005535840416,-0.0637083561883443,20,0,0,0,5,-0.4645661653546,2.72069185512352,2.79583937687473,3.09930677304697,13674.931001815,12687.0713379501,12455.0525091492
