temps,T1,T2,T3
317,26.42296832,26.42502154,25.75370857
317.5,26.4259429,26.42840101,25.75712393
318,26.42890579,26.43176877,25.76052747
318.5,26.43185704,26.43512486,25.76391925
319,26.43479669,26.43846931,25.7672993
319.5,26.4377248,26.44180217,25.77066766
320,26.44064139,26.44512347,25.77402437
320.5,26.44354653,26.44843327,25.77736948
321,26.44644026,26.45173159,25.78070301
321.5,26.44932261,26.45501848,25.78402502
322,26.45219364,26.45829397,25.78733554
322.5,26.45505338,26.46155811,25.79063461
323,26.45790189,26.46481094,25.79392227
323.5,26.46073921,26.4680525,25.79719856
324,26.46356538,26.47128281,25.80046351
324.5,26.46638044,26.47450193,25.80371718
325,26.46918444,26.4777099,25.80695959
325.5,26.47197743,26.48090674,25.81019078
326,26.47475944,26.4840925,25.81341079
326.5,26.47753052,26.48726722,25.81661967
327,26.48029071,26.49043094,25.81981745
327.5,26.48304005,26.49358369,25.82300416
328,26.4857786,26.49672551,25.82617985
328.5,26.48850638,26.49985644,25.82934455
329,26.49122344,26.50297652,25.8324983
329.5,26.49392983,26.50608578,25.83564114
330,26.49662558,26.50918427,25.83877311
330.5,26.49931074,26.51227201,25.84189424
331,26.50198536,26.51534906,25.84500458
331.5,26.50464946,26.51841543,25.84810415
332,26.50730309,26.52147118,25.85119299
332.5,26.5099463,26.52451634,25.85427115
333,26.51257912,26.52755094,25.85733866
333.5,26.51520159,26.53057503,25.86039555
334,26.51781376,26.53358863,25.86344187
334.5,26.52041567,26.53659179,25.86647764
335,26.52300735,26.53958453,25.86950291
335.5,26.52558885,26.5425669,25.87251771
336,26.52816021,26.54553894,25.87552207
336.5,26.53072146,26.54850067,25.87851604
337,26.53327265,26.55145214,25.88149965
337.5,26.53581382,26.55439338,25.88447293
338,26.538345,26.55732442,25.88743592
338.5,26.54086623,26.5602453,25.89038866
339,26.54337756,26.56315606,25.89333118
339.5,26.54587902,26.56605673,25.89626351
340,26.54837065,26.56894735,25.89918569
340.5,26.55085249,26.57182794,25.90209777
341,26.55332458,26.57469855,25.90499976
341.5,26.55578696,26.57755921,25.9078917
342,26.55823966,26.58040996,25.91077364
342.5,26.56068272,26.58325082,25.9136456
343,26.56311619,26.58608184,25.91650763
343.5,26.56554009,26.58890304,25.91935974
344,26.56795447,26.59171447,25.92220198
344.5,26.57035936,26.59451615,25.92503439
345,26.5727548,26.59730812,25.92785699
345.5,26.57514083,26.60009041,25.93066982
346,26.57751748,26.60286306,25.93347291
346.5,26.5798848,26.60562609,25.9362663
347,26.58224281,26.60837955,25.93905002
347.5,26.58459156,26.61112347,25.9418241
348,26.58693108,26.61385787,25.94458858
348.5,26.5892614,26.6165828,25.94734349
349,26.59158257,26.61929828,25.95008886
349.5,26.59389462,26.62200435,25.95282473
350,26.59619759,26.62470104,25.95555112
350.5,26.5984915,26.62738838,25.95826808
351,26.60077641,26.63006641,25.96097564
351.5,26.60305233,26.63273515,25.96367381
352,26.60531931,26.63539465,25.96636265
352.5,26.60757739,26.63804492,25.96904218
353,26.60982659,26.64068601,25.97171243
353.5,26.61206695,26.64331795,25.97437344
354,26.61429852,26.64594076,25.97702523
354.5,26.61652131,26.64855448,25.97966785
355,26.61873537,26.65115914,25.98230131
355.5,26.62094073,26.65375478,25.98492566
356,26.62313742,26.65634141,25.98754092
356.5,26.62532548,26.65891908,25.99014712
357,26.62750495,26.66148782,25.9927443
