temps,T1,T2,T3
300.5,28.32678221,27.09804875,26.54923017
301,28.32768274,27.0995413,26.55076116
301.5,28.32857791,27.1010273,26.55228547
302,28.32946775,27.10250679,26.55380312
302.5,28.33035229,27.1039798,26.55531413
303,28.33123156,27.10544635,26.55681854
303.5,28.33210559,27.10690647,26.55831637
304,28.33297442,27.10836018,26.55980766
304.5,28.33383808,27.10980753,26.56129243
305,28.33469659,27.11124853,26.56277071
305.5,28.33554999,27.11268321,26.56424253
306,28.33639831,27.1141116,26.56570791
306.5,28.33724158,27.11553373,26.56716689
307,28.33807982,27.11694963,26.5686195
307.5,28.33891307,27.11835931,26.57006575
308,28.33974136,27.11976282,26.57150569
308.5,28.34056472,27.12116018,26.57293933
309,28.34138318,27.1225514,26.57436671
309.5,28.34219676,27.12393653,26.57578784
310,28.34300549,27.12531559,26.57720277
310.5,28.34380941,27.1266886,26.57861151
311,28.34460854,27.12805559,26.58001409
311.5,28.34540292,27.12941659,26.58141055
312,28.34619256,27.13077163,26.5828009
312.5,28.3469775,27.13212072,26.58418517
313,28.34775776,27.13346389,26.5855634
313.5,28.34853338,27.13480118,26.5869356
314,28.34930438,27.13613261,26.5883018
314.5,28.35007079,27.1374582,26.58966203
315,28.35083263,27.13877798,26.59101631
315.5,28.35158994,27.14009197,26.59236468
316,28.35234274,27.1414002,26.59370715
316.5,28.35309105,27.14270269,26.59504376
317,28.35383491,27.14399948,26.59637452
317.5,28.35457434,27.14529058,26.59769947
318,28.35530936,27.14657602,26.59901863
318.5,28.35604001,27.14785583,26.60033202
319,28.3567663,27.14913002,26.60163967
319.5,28.35748827,27.15039863,26.6029416
320,28.35820595,27.15166167,26.60423785
320.5,28.35891934,27.15291918,26.60552842
321,28.35962849,27.15417118,26.60681336
321.5,28.36033342,27.15541769,26.60809268
322,28.36103415,27.15665873,26.60936641
322.5,28.3617307,27.15789433,26.61063457
323,28.36242311,27.15912452,26.61189719
323.5,28.36311139,27.16034931,26.6131543
324,28.36379558,27.16156873,26.6144059
324.5,28.36447569,27.16278281,26.61565204
325,28.36515175,27.16399156,26.61689273
325.5,28.36582378,27.16519501,26.61812799
326,28.36649181,27.16639319,26.61935786
326.5,28.36715587,27.16758612,26.62058235
327,28.36781596,27.16877381,26.62180149
327.5,28.36847213,27.1699563,26.6230153
328,28.36912439,27.17113361,26.62422381
328.5,28.36977277,27.17230575,26.62542703
329,28.37041728,27.17347276,26.626625
329.5,28.37105796,27.17463464,26.62781773
330,28.37169482,27.17579144,26.62900524
330.5,28.37232789,27.17694316,26.63018757
331,28.37295719,27.17808984,26.63136472
331.5,28.37358274,27.17923148,26.63253674
332,28.37420456,27.18036813,26.63370363
332.5,28.37482269,27.18149978,26.63486541
