Temps (s),T1 (°C),T2 (°C),T3 (°C),T4 (°C)
Temps (s), T1 (°C), T2 (°C), T3 (°C), T4 (°C)
287,7.85,12.68,13.95,26.49
288,7.76,12.59,13.95,26.49
289,7.85,12.59,13.95,26.49
290,7.85,12.59,13.86,26.49
291,7.95,12.59,13.86,26.49
292,7.85,12.59,13.86,26.49
293,7.76,12.50,13.86,26.49
294,7.85,12.59,13.86,26.49
295,7.85,12.50,13.86,26.49
296,7.76,12.50,13.86,26.49
297,7.85,12.50,13.86,26.49
298,7.85,12.50,13.86,26.49
299,7.76,12.50,13.86,26.49
300,7.76,12.41,13.86,26.49
301,7.85,12.41,13.86,26.49
302,7.85,12.41,13.86,26.49
303,7.76,12.41,13.77,26.49
304,7.76,12.41,13.77,26.49
305,7.76,12.41,13.77,26.49
306,7.76,12.41,13.77,26.49
307,7.76,12.41,13.77,26.49
308,7.76,12.41,13.77,26.49
309,7.76,12.41,13.68,26.49
310,7.66,12.41,13.77,26.49
311,7.66,12.41,13.68,26.59
312,7.66,12.41,13.68,26.49
313,7.66,12.41,13.68,26.49
314,7.66,12.32,13.68,26.49
315,7.66,12.32,13.59,26.49
316,7.66,12.32,13.59,26.59
317,7.66,12.32,13.59,26.49
318,7.76,12.32,13.59,26.49
319,7.66,12.32,13.59,26.49
320,7.66,12.32,13.59,26.49
321,7.66,12.32,13.59,26.49
322,7.57,12.23,13.50,26.49
323,7.57,12.23,13.50,26.49
324,7.57,12.23,13.50,26.49
325,7.57,12.23,13.50,26.49
326,7.57,12.23,13.50,26.49
327,7.57,12.23,13.50,26.49
328,7.47,12.23,13.50,26.49
329,7.57,12.23,13.50,26.49
330,7.57,12.14,13.41,26.49
331,7.57,12.14,13.50,26.59
332,7.47,12.14,13.41,26.49
333,7.57,12.14,13.41,26.49
334,7.57,12.14,13.41,26.49
335,7.57,12.14,13.41,26.49
336,7.57,12.14,13.41,26.49
337,7.47,12.14,13.41,26.59
338,7.57,12.14,13.41,26.49
339,7.57,12.14,13.41,26.49
340,7.57,12.14,13.41,26.49
341,7.47,12.04,13.41,26.49
342,7.57,12.04,13.41,26.49
343,7.47,12.04,13.41,26.49
344,7.47,12.14,13.41,26.49
345,7.47,12.04,13.41,26.49
346,7.47,12.04,13.32,26.49
347,7.47,12.04,13.32,26.49
348,7.38,12.04,13.32,26.49
349,7.38,12.14,13.32,26.49
350,7.47,12.04,13.32,26.59
351,7.47,12.04,13.32,26.49
352,7.38,12.04,13.32,26.49
353,7.47,12.04,13.32,26.49
354,7.38,12.04,13.32,26.49
355,7.47,11.95,13.32,26.49
356,7.38,12.04,13.32,26.49
357,7.38,12.04,13.23,26.49
358,7.47,12.04,13.23,26.59
359,7.38,12.04,13.23,26.49
360,7.38,12.04,13.32,26.49
361,7.38,12.04,13.23,26.49
362,7.47,11.95,13.23,26.49
363,7.47,11.95,13.23,26.49
364,7.38,11.95,13.23,26.49
365,7.38,11.95,13.23,26.49
366,7.38,11.95,13.23,26.49
367,7.38,11.95,13.32,26.49
368,7.38,11.95,13.23,26.49
369,7.28,12.04,13.23,26.49
370,7.38,11.95,13.23,26.49
371,7.28,11.95,13.23,26.49
372,7.28,11.95,13.23,26.49
373,7.28,11.95,13.14,26.49
374,7.38,11.95,13.23,26.49
375,7.38,11.95,13.23,26.49
376,7.28,11.95,13.23,26.49
377,7.28,11.95,13.23,26.49
378,7.38,11.86,13.14,26.49
379,7.28,11.95,13.14,26.49
380,7.28,11.95,13.23,26.49
381,7.28,11.95,13.14,26.49
382,7.28,11.86,13.14,26.49
383,7.28,11.95,13.23,26.49
384,7.28,11.86,13.23,26.49
385,7.28,11.95,13.14,26.49
386,7.28,11.86,13.23,26.59
387,7.28,11.86,13.14,26.49
388,7.28,11.86,13.14,26.49
389,7.28,11.86,13.14,26.49
390,7.18,11.86,13.14,26.49
391,7.28,11.86,13.14,26.49
392,7.18,11.86,13.14,26.49
393,7.18,11.86,13.14,26.59
394,7.28,11.77,13.14,26.59
395,7.18,11.86,13.05,26.49
396,7.18,11.77,13.14,26.49
397,7.18,11.77,13.05,26.49
398,7.28,11.77,13.05,26.59
399,7.18,11.77,13.05,26.49
400,7.18,11.77,13.05,26.49
401,7.18,11.77,13.14,26.49
402,7.18,11.77,13.05,26.59
403,7.09,11.77,13.14,26.59
404,7.18,11.77,13.05,26.49
405,7.18,11.77,13.05,26.59
406,7.09,11.77,13.05,26.49
407,7.18,11.77,13.14,26.49
409,7.18,11.77,13.14,26.49
410,7.09,11.77,13.14,26.49
411,7.09,11.77,13.14,26.49
412,7.09,11.68,13.05,26.49
413,7.18,11.77,13.05,26.49
414,7.09,11.77,13.05,26.49
415,7.18,11.68,13.05,26.59
416,7.09,11.68,13.05,26.59
417,7.09,11.68,13.05,26.49
418,7.09,11.68,13.05,26.59
419,7.18,11.68,13.05,26.49
420,7.09,11.68,13.05,26.49
421,7.18,11.68,13.05,26.49
422,7.09,11.68,12.96,26.49
423,7.09,11.68,12.96,26.59
424,7.09,11.68,12.96,26.59
425,7.09,11.68,12.96,26.59
426,7.09,11.68,12.96,26.49
427,7.09,11.68,12.96,26.59
428,7.09,11.77,12.96,26.59
429,7.18,11.68,12.96,26.59
430,7.09,11.68,12.96,26.59
431,7.09,11.68,12.96,26.59
432,7.09,11.59,12.96,26.59
433,7.09,11.59,12.96,26.59
434,7.09,11.68,12.96,26.59
435,7.09,11.59,12.96,26.59
436,7.09,11.59,12.86,26.59
437,7.09,11.59,12.96,26.59
438,7.28,11.68,12.96,26.59
439,7.18,11.59,12.96,26.59
440,7.18,11.68,12.96,26.59
441,7.18,11.68,12.86,26.59
442,7.18,11.68,12.96,26.59
443,7.18,11.68,12.96,26.59
444,7.18,11.68,12.96,26.59
445,7.18,11.68,12.96,26.59
446,7.09,11.68,12.96,26.59
447,7.28,11.68,12.96,26.59
448,7.18,11.77,12.96,26.59
449,7.18,11.68,12.96,26.59
450,7.18,11.68,12.96,26.59
451,7.18,11.68,12.96,26.68
452,7.09,11.68,12.96,26.68
453,7.18,11.68,12.96,26.68
454,7.18,11.68,12.96,26.68
455,7.09,11.68,12.96,26.68
456,7.18,11.68,12.96,26.68
457,7.18,11.68,12.96,26.68
458,7.09,11.68,12.86,26.68
459,7.18,11.68,12.96,26.68
460,7.18,11.68,12.96,26.68
461,7.09,11.77,12.96,26.68
462,7.18,11.68,12.96,26.68
463,7.18,11.68,12.86,26.68
464,7.09,11.77,12.86,26.68
465,7.09,11.77,12.96,26.68
466,7.09,11.68,12.86,26.68
467,7.09,11.68,12.96,26.68
468,7.09,11.68,12.86,26.77
469,7.09,11.68,12.86,26.68
470,7.09,11.68,12.86,26.68
471,7.09,11.68,12.86,26.68
472,7.18,11.68,12.86,26.68
473,7.09,11.68,12.77,26.77
474,7.18,11.59,12.86,26.68
475,7.09,11.59,12.77,26.68
476,7.09,11.59,12.86,26.68
477,7.09,11.59,12.86,26.68
478,7.18,11.59,12.86,26.68
479,7.28,11.59,12.77,26.68
480,7.18,11.59,12.77,26.68
481,7.28,11.68,12.86,26.77
482,7.28,11.59,12.86,26.68
483,7.18,11.59,12.86,26.68
484,7.18,11.59,12.86,26.68
485,7.18,11.59,12.86,26.68
486,7.18,11.59,12.86,26.68
487,7.09,11.59,12.86,26.77
488,7.09,11.68,12.96,26.77
489,7.09,11.59,12.86,26.68
490,7.09,11.59,12.96,26.68
491,7.18,11.59,12.86,26.77
492,7.09,11.59,12.96,26.77
493,7.09,11.59,12.86,26.77
494,7.09,11.59,12.96,26.77
495,7.09,11.59,12.86,26.77
496,7.09,11.59,12.96,26.77
497,7.09,11.59,12.86,26.77
498,6.99,11.59,12.86,26.68
499,7.09,11.59,12.86,26.68
500,7.09,11.59,12.96,26.77
501,7.18,11.59,12.96,26.77
502,7.18,11.59,12.96,26.77
503,7.18,11.59,12.96,26.77
504,7.28,11.68,12.96,26.68
505,7.28,11.59,12.96,26.68
506,7.47,11.59,12.96,26.77
507,7.28,11.59,13.05,26.68
508,7.18,11.68,13.05,26.77
509,7.28,11.68,13.05,26.77
510,7.18,11.68,12.96,26.77
511,7.18,11.68,13.05,26.77
512,7.09,11.68,12.96,26.77
513,7.09,11.68,13.05,26.77
514,7.18,11.68,13.05,26.86
515,7.18,11.68,13.05,26.77
516,7.18,11.68,12.96,26.77
517,6.99,11.68,13.05,26.77
518,7.09,11.68,13.05,26.77
519,7.18,11.68,12.96,26.77
520,7.09,11.68,12.96,26.77
521,7.09,11.68,12.96,26.86
522,7.09,11.68,12.96,26.86
523,7.18,11.59,12.86,26.77
524,7.18,11.59,12.86,26.77
525,7.28,11.59,12.86,26.77
526,7.28,11.59,12.96,26.86
527,7.28,11.59,12.86,26.77
528,7.18,11.59,12.86,26.86
529,7.09,11.49,12.86,26.86
530,7.18,11.49,12.86,26.86
531,6.99,11.59,12.86,26.77
532,6.99,11.59,12.86,26.86
533,6.99,11.49,12.86,26.86
534,6.99,11.49,12.86,26.86
535,6.99,11.49,12.86,26.86
536,6.99,11.49,12.86,26.86
537,6.99,11.49,12.96,26.86
538,6.99,11.59,12.96,26.86
539,6.99,11.59,12.96,26.86
540,6.99,11.68,12.96,26.86
541,6.99,11.49,12.96,26.86
542,6.99,11.59,12.96,26.86
543,6.99,11.49,12.96,26.86
544,6.99,11.59,12.96,26.86
545,6.99,11.59,12.96,26.86
546,6.99,11.59,12.96,26.86
547,6.99,11.59,12.96,26.86
548,6.99,11.59,12.96,26.86
549,6.90,11.59,12.96,26.86
550,6.99,11.59,12.96,26.86
551,6.99,11.59,12.96,26.86
552,6.99,11.59,12.96,26.86
553,6.99,11.59,12.96,26.86
554,6.99,11.59,12.86,26.95
555,7.09,11.59,12.96,26.86
556,7.09,11.68,12.86,26.86
557,7.09,11.59,12.86,26.86
558,7.09,11.59,12.86,26.86
559,7.09,11.59,12.86,26.86
560,7.09,11.59,12.96,26.86
561,7.09,11.59,12.86,26.86
562,7.09,11.59,12.96,26.86
563,6.99,11.59,12.96,26.86
564,6.99,11.59,12.96,26.86
565,6.99,11.59,12.96,26.86
566,6.99,11.59,12.96,26.86
567,6.99,11.59,12.96,26.86
568,7.09,11.59,12.96,26.86
569,7.09,11.59,12.96,26.86
570,6.99,11.59,12.96,26.86
571,6.99,11.59,12.96,26.86
572,6.99,11.59,12.96,26.86
573,7.09,11.59,12.86,26.86
574,6.99,11.59,12.86,26.86
575,6.99,11.59,12.86,26.86
576,6.99,11.59,12.86,26.86
577,6.99,11.59,12.86,26.95
578,7.09,11.59,12.86,26.86
579,7.09,11.59,12.86,26.86
580,7.09,11.59,12.86,26.86
581,7.09,11.59,12.86,26.86
582,7.09,11.59,12.86,26.86
583,7.18,11.59,12.86,26.86
584,7.09,11.68,12.86,26.86
585,7.09,11.59,12.77,26.86
586,6.99,11.59,12.86,26.86
587,7.09,11.49,12.77,26.86
588,7.09,11.59,12.77,26.86
589,7.09,11.59,12.77,26.86
590,7.09,11.59,12.77,26.86
591,7.09,11.59,12.77,26.86
592,7.09,11.59,12.77,26.86
593,7.09,11.59,12.77,26.86
594,7.09,11.59,12.77,26.86
595,7.09,11.59,12.77,26.95
596,7.09,11.49,12.86,26.86
597,7.09,11.59,12.77,26.86
598,7.18,11.49,12.86,26.86
599,7.09,11.59,12.86,26.95
600,7.18,11.59,12.86,26.95
601,7.18,11.59,12.86,26.86
602,7.18,11.59,12.86,26.95
603,7.18,11.59,12.86,26.86
604,7.28,11.59,12.86,26.86
605,7.28,11.59,12.96,26.95
606,7.18,11.59,12.96,26.86
607,7.18,11.59,12.96,26.86
608,7.09,11.59,12.96,26.86
609,7.09,11.59,12.96,26.86
610,6.99,11.59,12.96,26.86
611,6.99,11.68,12.96,26.86
612,7.09,11.59,13.05,26.86
613,6.90,11.59,13.05,26.86
615,6.90,11.59,12.96,26.86
