Temps (s), T1 (°C), T2 (°C), T3 (°C),Ampérage (A)
350,16.64,18.87,19.58,-1.0
351,16.64,18.87,19.58,-1.0
352,16.64,18.87,19.58,-1.0
353,16.64,18.87,19.58,-1.0
354,16.64,18.87,19.58,-1.0
355,16.64,18.87,19.58,-1.0
356,16.64,18.87,19.58,-1.0
357,16.55,18.87,19.58,-1.0
358,16.55,18.87,19.58,-1.0
359,16.55,18.87,19.58,-1.0
360,16.55,18.87,19.58,-1.0
361,16.55,18.78,19.58,-1.0
362,16.55,18.78,19.49,-1.0
363,16.55,18.78,19.58,-1.0
364,16.55,18.78,19.58,-1.0
365,16.64,18.78,19.49,-1.0
366,16.64,18.78,19.49,-1.0
367,16.64,18.78,19.49,-1.0
368,16.64,18.78,19.49,-1.0
369,16.55,18.78,19.49,-1.0
370,16.55,18.78,19.49,-1.0
371,16.55,18.78,19.49,-1.0
372,16.55,18.78,19.49,-1.0
373,16.55,18.69,19.49,-1.0
374,16.55,18.69,19.49,-1.0
375,16.55,18.78,19.49,-1.0
376,16.55,18.78,19.49,-1.0
377,16.55,18.78,19.49,-1.0
378,16.55,18.69,19.49,-1.0
379,16.55,18.69,19.49,-1.0
380,16.55,18.69,19.49,-1.0
381,16.55,18.69,19.49,-1.0
382,16.55,18.69,19.49,-1.0
383,16.46,18.78,19.4,-1.0
384,16.55,18.69,19.49,-1.0
385,16.55,18.69,19.4,-1.0
386,16.55,18.69,19.49,-1.0
387,16.64,18.69,19.4,-1.0
388,16.64,18.69,19.4,-1.0
389,16.64,18.69,19.4,-1.0
390,16.64,18.69,19.4,-1.0
391,16.64,18.69,19.4,-1.0
392,16.64,18.69,19.4,-1.0
393,16.64,18.69,19.4,-1.0
394,16.64,18.69,19.4,-1.0
395,16.64,18.69,19.4,-1.0
396,16.64,18.69,19.4,-1.0
397,16.64,18.69,19.4,-1.0
398,16.55,18.69,19.4,-1.0
399,16.55,18.69,19.4,-1.0
400,16.55,18.69,19.4,-1.0
401,16.55,18.69,19.4,-1.0
402,16.46,18.69,19.4,-1.0
403,16.46,18.69,19.4,-1.0
404,16.46,18.69,19.4,-1.0
405,16.55,18.69,19.4,-1.0
406,16.55,18.69,19.4,-1.0
407,16.46,18.69,19.4,-1.0
408,16.46,18.69,19.4,-1.0
409,16.46,18.69,19.4,-1.0
410,16.46,18.69,19.4,-1.0
411,16.46,18.69,19.4,-1.0
412,16.46,18.69,19.4,-1.0
413,16.46,18.69,19.4,-1.0
414,16.46,18.69,19.32,-1.0
415,16.46,18.69,19.4,-1.0
416,16.46,18.69,19.4,-1.0
417,16.46,18.69,19.4,-1.0
418,16.46,18.69,19.4,-1.0
419,16.46,18.69,19.4,-1.0
420,16.46,18.69,19.4,-1.0
421,16.46,18.69,19.4,-1.0
422,16.46,18.69,19.32,-1.0
423,16.46,18.69,19.4,-1.0
424,16.46,18.69,19.4,-1.0
425,16.46,18.69,19.4,-1.0
426,16.46,18.69,19.4,-1.0
427,16.46,18.69,19.32,-1.0
428,16.55,18.6,19.32,-1.0
429,16.55,18.6,19.32,-1.0
430,16.55,18.6,19.32,-1.0
431,16.55,18.6,19.32,-1.0
432,16.55,18.6,19.32,-1.0
433,16.55,18.6,19.32,-1.0
434,16.55,18.6,19.32,-1.0
435,16.55,18.6,19.32,-1.0
436,16.46,18.6,19.32,-1.0
437,16.46,18.6,19.32,-1.0
438,16.46,18.6,19.32,-1.0
439,16.46,18.6,19.32,-1.0
440,16.46,18.6,19.32,-1.0
441,16.46,18.6,19.32,-1.0
442,16.46,18.6,19.32,-1.0
443,16.46,18.51,19.32,-1.0
444,16.38,18.6,19.32,-1.0
445,16.38,18.51,19.23,-1.0
446,16.38,18.51,19.32,-1.0
447,16.38,18.51,19.32,-1.0
448,16.38,18.6,19.32,-1.0
449,16.38,18.6,19.23,-1.0
450,16.38,18.6,19.32,-1.0
451,16.38,18.6,19.32,-1.0
452,16.38,18.6,19.32,-1.0
453,16.46,18.51,19.23,-1.0
454,16.46,18.51,19.32,-1.0
455,16.46,18.51,19.32,-1.0
456,16.46,18.51,19.23,-1.0
457,16.46,18.51,19.32,-1.0
458,16.46,18.6,19.23,-1.0
459,16.46,18.6,19.32,-1.0
460,16.46,18.6,19.23,-1.0
461,16.46,18.6,19.23,-1.0
462,16.46,18.51,19.23,-1.0
463,16.46,18.6,19.23,-1.0
464,16.46,18.6,19.23,-1.0
465,16.46,18.6,19.32,-1.0
466,16.46,18.6,19.23,-1.0
467,16.38,18.6,19.23,-1.0
468,16.38,18.6,19.23,-1.0
469,16.38,18.6,19.32,-1.0
470,16.38,18.6,19.32,-1.0
471,16.38,18.6,19.32,-1.0
472,16.38,18.6,19.23,-1.0
473,16.38,18.6,19.32,-1.0
474,16.38,18.6,19.32,-1.0
475,16.38,18.51,19.23,-1.0
476,16.38,18.6,19.32,-1.0
477,16.38,18.6,19.23,-1.0
478,16.38,18.6,19.23,-1.0
479,16.38,18.6,19.23,-1.0
480,16.38,18.51,19.23,-1.0
481,16.38,18.51,19.23,-1.0
482,16.38,18.51,19.23,-1.0
483,16.38,18.51,19.23,-1.0
484,16.29,18.51,19.23,-1.0
485,16.29,18.51,19.23,-1.0
486,16.29,18.51,19.23,-1.0
487,16.29,18.51,19.23,-1.0
488,16.29,18.51,19.23,-1.0
489,16.29,18.51,19.23,-1.0
490,16.38,18.51,19.23,-1.0
491,16.29,18.51,19.23,-1.0
492,16.29,18.51,19.23,-1.0
493,16.29,18.51,19.23,-1.0
494,16.29,18.51,19.23,-1.0
495,16.38,18.51,19.23,-1.0
496,16.29,18.51,19.23,-1.0
497,16.29,18.51,19.14,-1.0
498,16.29,18.51,19.23,-1.0
499,16.29,18.51,19.14,-1.0
500,16.38,18.43,19.23,-1.0
501,16.38,18.43,19.14,-1.0
502,16.38,18.43,19.14,-1.0
503,16.38,18.43,19.14,-1.0
504,16.38,18.43,19.14,-1.0
505,16.38,18.43,19.14,-1.0
506,16.38,18.43,19.14,-1.0
507,16.38,18.43,19.14,-1.0
508,16.38,18.43,19.14,-1.0
509,16.29,18.43,19.14,-1.0
510,16.29,18.43,19.14,-1.0
511,16.29,18.43,19.14,-1.0
512,16.29,18.43,19.14,-1.0
513,16.29,18.43,19.23,-1.0
514,16.29,18.43,19.14,-1.0
515,16.29,18.43,19.14,-1.0
516,16.29,18.43,19.14,-1.0
517,16.29,18.43,19.14,-1.0
518,16.29,18.43,19.14,-1.0
519,16.29,18.43,19.14,-1.0
520,16.29,18.43,19.14,-1.0
521,16.38,18.34,19.14,-1.0
522,16.38,18.34,19.14,-1.0
523,16.29,18.34,19.14,-1.0
524,16.29,18.34,19.14,-1.0
525,16.29,18.34,19.14,-1.0
526,16.29,18.34,19.14,-1.0
527,16.29,18.34,19.14,-1.0
528,16.29,18.34,19.05,-1.0
529,16.29,18.34,19.14,-1.0
530,16.29,18.34,19.14,-1.0
531,16.29,18.34,19.14,-1.0
532,16.29,18.34,19.14,-1.0
533,16.29,18.34,19.05,-1.0
534,16.29,18.34,19.14,-1.0
535,16.2,18.34,19.05,-1.0
536,16.29,18.34,19.05,-1.0
538,16.29,18.34,19.05,-1.0
539,16.29,18.34,19.05,-1.0
540,16.29,18.34,19.05,-1.0
541,16.38,18.34,19.05,-1.0
542,16.38,18.34,19.05,-1.0
543,16.29,18.34,19.05,-1.0
544,16.29,18.34,19.05,-1.0
545,16.29,18.34,19.05,-1.0
546,16.2,18.34,19.05,-1.0
547,16.2,18.34,19.05,-1.0
548,16.2,18.34,19.05,-1.0
549,16.2,18.34,19.05,-1.0
550,16.2,18.34,19.05,-1.0
551,16.2,18.34,19.05,-1.0
552,16.2,18.34,19.05,-1.0
553,16.2,18.34,19.05,-1.0
554,16.2,18.34,19.05,-1.0
555,16.2,18.25,19.05,-1.0
556,16.29,18.25,19.05,-1.0
557,16.29,18.34,19.05,-1.0
558,16.29,18.25,19.05,-1.0
559,16.29,18.25,19.05,-1.0
560,16.29,18.25,18.96,-1.0
561,16.29,18.25,18.96,-1.0
562,16.29,18.25,18.96,-1.0
563,16.29,18.25,18.96,-1.0
564,16.29,18.25,18.96,-1.0
565,16.2,18.25,18.96,-1.0
566,16.2,18.25,18.96,-1.0
567,16.2,18.25,18.96,-1.0
568,16.2,18.25,18.96,-1.0
569,16.2,18.25,18.96,-1.0
570,16.2,18.25,18.96,-1.0
571,16.11,18.25,18.96,-1.0
572,16.11,18.25,18.96,-1.0
573,16.11,18.25,18.96,-1.0
574,16.11,18.25,18.96,-1.0
575,16.11,18.25,18.96,-1.0
576,16.11,18.25,18.96,-1.0
577,16.11,18.25,18.96,-1.0
578,16.11,18.25,18.96,-1.0
579,16.11,18.25,18.96,-1.0
580,16.11,18.25,18.96,-1.0
581,16.11,18.25,18.96,-1.0
582,16.11,18.25,18.96,-1.0
583,16.11,18.25,18.96,-1.0
584,16.11,18.25,18.96,-1.0
585,16.11,18.25,18.96,-1.0
586,16.11,18.25,18.96,-1.0
587,16.11,18.25,18.96,-1.0
588,16.11,18.25,18.96,-1.0
589,16.02,18.16,18.96,-1.0
590,16.02,18.16,18.96,-1.0
591,16.02,18.25,18.96,-1.0
592,16.02,18.16,18.96,-1.0
593,16.11,18.16,18.96,-1.0
594,16.02,18.16,18.96,-1.0
595,16.11,18.16,18.96,-1.0
596,16.02,18.16,18.96,-1.0
597,16.02,18.16,18.96,-1.0
598,16.11,18.25,18.96,-1.0
599,16.02,18.16,18.96,-1.0
600,16.02,18.25,18.96,-1.0
601,16.02,18.25,18.96,-1.0
602,16.02,18.25,18.96,-1.0
603,16.02,18.25,18.96,-1.0
604,16.02,18.25,18.96,-1.0
605,16.02,18.25,18.96,-1.0
606,16.02,18.25,18.96,-1.0
607,16.02,18.25,18.96,-1.0
608,16.02,18.25,18.96,-1.0
609,16.02,18.25,18.96,-1.0
610,16.02,18.25,19.05,-1.0
611,16.02,18.25,18.96,-1.0
612,16.02,18.25,19.05,-1.0
613,16.02,18.25,18.96,-1.0
614,16.02,18.25,18.96,-1.0
615,16.02,18.25,18.96,-1.0
616,16.02,18.25,18.96,-1.0
617,16.02,18.25,18.96,-1.0
618,16.02,18.25,18.96,-1.0
619,16.02,18.25,18.96,-1.0
620,16.02,18.25,18.96,-1.0
621,16.02,18.25,18.96,-1.0
622,16.02,18.25,18.96,-1.0
623,16.02,18.25,18.96,-1.0
624,16.02,18.25,18.96,-1.0
625,16.02,18.25,18.96,-1.0
626,16.02,18.16,18.96,-1.0
627,16.02,18.25,18.96,-1.0
628,16.02,18.25,18.96,-1.0
629,16.02,18.25,18.96,-1.0
630,16.02,18.25,18.96,-1.0
631,16.02,18.16,18.87,-1.0
632,16.02,18.16,18.87,-1.0
633,16.02,18.16,18.87,-1.0
634,16.02,18.16,18.87,-1.0
635,16.02,18.16,18.87,-1.0
636,16.02,18.16,18.96,-1.0
637,16.02,18.16,18.87,-1.0
638,16.11,18.16,18.87,-1.0
639,16.11,18.16,18.87,-1.0
640,16.11,18.16,18.87,-1.0
641,16.11,18.16,18.87,-1.0
642,16.11,18.16,18.87,-1.0
643,16.11,18.16,18.87,-1.0
644,16.11,18.16,18.87,-1.0
645,16.11,18.16,18.87,-1.0
646,16.02,18.16,18.87,-1.0
647,16.02,18.16,18.87,-1.0
648,16.02,18.16,18.87,-1.0
649,16.02,18.16,18.87,-1.0
650,16.02,18.16,18.87,-1.0
651,16.02,18.16,18.87,-1.0
652,16.02,18.16,18.87,-1.0
653,15.93,18.16,18.87,-1.0
654,15.93,18.16,18.87,-1.0
655,16.02,18.16,18.87,-1.0
656,15.93,18.16,18.87,-1.0
657,15.93,18.16,18.87,-1.0
658,15.93,18.16,18.87,-1.0
659,15.93,18.16,18.87,-1.0
660,15.93,18.16,18.87,-1.0
661,16.02,18.16,18.87,-1.0
662,16.02,18.16,18.87,-1.0
663,16.02,18.16,18.87,-1.0
664,16.02,18.16,18.87,-1.0
665,16.02,18.16,18.87,-1.0
666,16.11,18.16,18.87,-1.0
667,16.11,18.16,18.87,-1.0
668,16.11,18.16,18.87,-1.0
669,16.11,18.16,18.87,-1.0
670,16.11,18.16,18.87,-1.0
671,16.11,18.16,18.87,-1.0
672,16.2,18.16,18.87,-1.0
673,16.2,18.16,18.87,-1.0
674,16.11,18.25,18.87,-1.0
675,16.2,18.16,18.87,-1.0
676,16.2,18.25,18.87,-1.0
677,16.2,18.25,18.87,-1.0
678,16.2,18.25,18.96,-1.0
679,16.11,18.25,18.96,-1.0
680,16.2,18.25,18.96,-1.0
681,16.2,18.25,18.96,-1.0
682,16.2,18.25,18.96,-1.0
683,16.2,18.25,18.96,-1.0
684,16.2,18.25,18.96,-1.0
685,16.11,18.25,18.96,-1.0
686,16.11,18.25,18.96,-1.0
687,16.2,18.16,18.96,-1.0
688,16.11,18.16,18.96,-1.0
689,16.11,18.16,18.96,-1.0
690,16.2,18.16,18.96,-1.0
691,16.2,18.16,18.96,-1.0
692,16.2,18.16,18.96,-1.0
693,16.2,18.16,18.87,-1.0
694,16.11,18.16,18.87,-1.0
695,16.11,18.16,18.87,-1.0
696,16.11,18.16,18.87,-1.0
697,16.11,18.16,18.87,-1.0
698,16.11,18.16,18.87,-1.0
699,16.11,18.16,18.87,-1.0
700,16.11,18.16,18.87,-1.0
701,16.02,18.16,18.87,-1.0
702,16.02,18.16,18.87,-1.0
703,16.02,18.16,18.78,-1.0
704,16.02,18.16,18.87,-1.0
705,16.02,18.16,18.87,-1.0
706,16.02,18.16,18.78,-1.0
707,16.02,18.16,18.87,-1.0
