Temps (s), T1 (°C), T2 (°C), T3 (°C),Ampérage (A)
510,22.35,22.97,23.06,-0.2
511,22.35,22.97,23.06,-0.2
512,22.35,22.97,23.06,-0.2
513,22.35,22.97,23.06,-0.2
514,22.35,22.97,23.06,-0.2
515,22.35,22.97,23.06,-0.2
516,22.26,22.97,23.06,-0.2
517,22.26,22.97,22.97,-0.2
518,22.26,22.97,23.06,-0.2
519,22.26,22.97,23.06,-0.2
520,22.26,22.97,23.06,-0.2
521,22.26,22.97,23.06,-0.2
522,22.26,22.97,23.06,-0.2
523,22.26,22.97,23.06,-0.2
524,22.26,22.97,23.06,-0.2
525,22.26,22.97,23.06,-0.2
526,22.26,22.97,23.06,-0.2
527,22.26,22.97,23.06,-0.2
528,22.26,22.97,23.06,-0.2
529,22.26,22.97,23.06,-0.2
530,22.26,22.97,23.06,-0.2
531,22.26,22.97,23.06,-0.2
532,22.26,22.97,23.06,-0.2
533,22.26,22.97,23.06,-0.2
534,22.26,22.97,23.06,-0.2
535,22.26,22.97,23.06,-0.2
537,22.26,22.97,23.06,-0.2
538,22.26,22.97,23.06,-0.2
539,22.26,22.97,23.06,-0.2
540,22.26,22.97,23.06,-0.2
541,22.26,22.97,23.06,-0.2
542,22.26,22.97,23.06,-0.2
543,22.26,22.97,23.06,-0.2
544,22.26,22.97,23.06,-0.2
545,22.26,22.97,22.97,-0.2
546,22.26,22.97,23.06,-0.2
547,22.26,22.97,23.06,-0.2
548,22.26,22.97,22.97,-0.2
549,22.26,22.97,23.06,-0.2
550,22.26,22.97,23.06,-0.2
551,22.26,22.97,23.06,-0.2
552,22.26,22.97,23.06,-0.2
553,22.26,22.97,23.06,-0.2
554,22.26,22.97,23.06,-0.2
555,22.26,22.97,23.06,-0.2
556,22.26,22.97,22.97,-0.2
557,22.26,22.97,23.06,-0.2
558,22.26,22.97,23.06,-0.2
559,22.26,22.97,23.06,-0.2
560,22.26,22.97,23.06,-0.2
561,22.26,22.97,23.06,-0.2
562,22.26,22.97,23.06,-0.2
563,22.26,22.97,22.97,-0.2
564,22.26,22.97,23.06,-0.2
565,22.26,22.97,23.06,-0.2
566,22.26,22.97,23.06,-0.2
567,22.26,22.97,23.06,-0.2
568,22.26,22.97,23.06,-0.2
569,22.26,22.97,23.06,-0.2
570,22.26,22.97,22.97,-0.2
571,22.26,22.97,23.06,-0.2
572,22.26,22.97,22.97,-0.2
573,22.26,22.97,23.06,-0.2
574,22.26,22.97,23.06,-0.2
575,22.26,22.97,22.97,-0.2
576,22.26,22.97,22.97,-0.2
577,22.26,22.97,22.97,-0.2
578,22.26,22.97,22.97,-0.2
579,22.26,22.97,23.06,-0.2
580,22.26,22.97,23.06,-0.2
581,22.26,22.97,23.06,-0.2
582,22.26,22.97,22.97,-0.2
583,22.26,22.97,23.06,-0.2
584,22.26,22.97,22.97,-0.2
585,22.26,22.97,23.06,-0.2
586,22.26,22.97,23.06,-0.2
587,22.26,22.97,22.97,-0.2
588,22.26,22.97,23.06,-0.2
589,22.26,22.97,22.97,-0.2
590,22.26,22.97,22.97,-0.2
591,22.26,22.97,22.97,-0.2
592,22.26,22.97,23.06,-0.2
593,22.26,22.97,22.97,-0.2
594,22.26,22.97,22.97,-0.2
595,22.26,22.97,22.97,-0.2
596,22.26,22.97,23.06,-0.2
597,22.26,22.97,23.06,-0.2
598,22.26,22.97,22.97,-0.2
599,22.26,22.97,23.06,-0.2
600,22.26,22.97,22.97,-0.2
