Temps (s),T1 (°C),T2 (°C),T3 (°C)
Temps (s), T1 (°C), T2 (°C), T3 (°C)
401,13.41,16.20,17.27
402,13.41,16.20,17.27
403,13.41,16.20,17.18
404,13.41,16.20,17.18
405,13.41,16.20,17.18
406,13.41,16.11,17.18
407,13.50,16.11,17.18
408,13.50,16.11,17.18
409,13.50,16.11,17.18
410,13.50,16.11,17.18
411,13.50,16.02,17.18
412,13.50,16.02,17.18
413,13.50,16.02,17.18
414,13.50,16.11,17.18
415,13.41,16.11,17.18
416,13.41,16.11,17.18
417,13.41,16.11,17.18
418,13.41,16.20,17.18
419,13.41,16.11,17.18
420,13.41,16.11,17.18
421,13.41,16.11,17.18
422,13.41,16.11,17.18
423,13.41,16.11,17.18
424,13.41,16.11,17.09
425,13.41,16.11,17.09
426,13.41,16.02,17.09
427,13.41,16.02,17.09
428,13.50,16.02,17.09
429,13.50,16.02,17.09
430,13.50,16.11,17.09
431,13.50,16.02,17.18
432,13.50,16.02,17.00
433,13.50,16.02,17.09
434,13.41,16.02,17.09
435,13.50,16.02,17.00
436,13.41,16.02,17.09
437,13.41,16.02,17.09
438,13.41,16.11,17.09
439,13.41,16.11,17.09
440,13.41,16.11,17.09
441,13.41,16.11,17.09
442,13.41,16.11,17.09
443,13.41,16.11,17.09
444,13.41,16.11,17.09
445,13.41,16.20,17.09
446,13.41,16.20,17.09
447,13.41,16.11,17.18
448,13.41,16.20,17.18
449,13.41,16.20,17.18
450,13.41,16.11,17.18
451,13.41,16.11,17.18
452,13.41,16.11,17.18
453,13.41,16.11,17.18
454,13.41,16.11,17.18
455,13.41,16.11,17.18
456,13.41,16.11,17.18
457,13.41,16.20,17.18
458,13.41,16.11,17.18
459,13.41,16.11,17.18
460,13.41,16.11,17.18
461,13.41,16.11,17.18
462,13.41,16.02,17.18
463,13.41,16.02,17.18
464,13.50,16.02,17.18
465,13.50,16.02,17.18
466,13.50,16.02,17.18
467,13.50,16.02,17.18
468,13.59,16.11,17.18
469,13.59,16.11,17.09
470,13.59,16.11,17.18
471,13.50,16.11,17.18
472,13.50,16.11,17.09
473,13.50,16.11,17.18
474,13.41,16.11,17.18
475,13.41,16.11,17.18
476,13.41,16.11,17.18
477,13.41,16.11,17.18
478,13.41,16.11,17.18
479,13.50,16.11,17.18
480,13.41,16.11,17.18
481,13.41,16.11,17.18
482,13.41,16.11,17.18
483,13.41,16.11,17.18
484,13.50,16.11,17.18
485,13.50,16.11,17.18
486,13.50,16.11,17.18
487,13.41,16.20,17.18
488,13.41,16.11,17.18
489,13.50,16.11,17.18
490,13.50,16.11,17.18
491,13.59,16.11,17.18
492,13.59,16.11,17.27
493,13.59,16.11,17.18
494,13.59,16.11,17.18
495,13.59,16.11,17.18
496,13.59,16.11,17.18
497,13.59,16.11,17.18
498,13.59,16.11,17.18
