Temps (s),T1 (�C),T2 (�C),T3 (�C),T4 (�C)
Temps (s), T1 (�C), T2 (�C), T3 (�C), T4 (�C)
430,31.72,30.20,29.07,23.33
431,31.72,30.20,28.98,23.33
432,31.72,30.20,29.07,23.42
433,31.72,30.20,28.98,23.33
434,31.72,30.29,28.98,23.33
435,31.72,30.20,28.98,23.33
436,31.72,30.20,28.98,23.33
437,31.72,30.20,28.98,23.42
438,31.72,30.20,28.98,23.33
439,31.72,30.29,28.98,23.33
440,31.81,30.29,28.98,23.33
441,31.81,30.29,28.98,23.33
442,31.81,30.20,29.07,23.33
443,31.81,30.29,28.98,23.33
444,31.72,30.20,29.07,23.33
445,31.81,30.29,29.07,23.33
446,31.81,30.20,29.07,23.42
447,31.72,30.20,29.07,23.33
448,31.81,30.29,29.07,23.33
449,31.81,30.20,29.07,23.33
450,31.72,30.29,29.07,23.33
451,31.81,30.20,29.07,23.33
452,31.81,30.20,29.07,23.33
453,31.81,30.20,29.07,23.33
454,31.81,30.29,29.07,23.42
455,31.81,30.29,29.07,23.42
456,31.81,30.29,29.07,23.42
457,31.81,30.29,29.07,23.33
458,31.81,30.29,29.07,23.33
459,31.81,30.29,29.07,23.42
460,31.81,30.29,29.07,23.42
461,31.81,30.29,29.07,23.33
462,31.91,30.29,29.07,23.42
463,31.81,30.29,29.07,23.33
464,31.81,30.29,29.07,23.42
465,31.81,30.39,29.07,23.42
466,31.91,30.39,29.07,23.42
467,31.91,30.39,29.07,23.33
468,31.91,30.29,29.07,23.33
469,31.81,30.29,29.07,23.42
470,31.91,30.29,29.07,23.42
471,31.81,30.29,29.07,23.42
472,31.91,30.29,28.98,23.33
473,31.81,30.29,29.07,23.42
474,31.81,30.29,29.07,23.33
475,31.91,30.29,28.98,23.42
476,31.91,30.29,28.98,23.42
477,31.81,30.39,29.07,23.33
478,31.81,30.29,29.07,23.42
479,31.81,30.29,29.07,23.42
480,31.81,30.29,29.07,23.33
481,31.81,30.29,29.07,23.33
482,31.81,30.29,29.07,23.42
483,31.81,30.29,29.07,23.42
484,31.72,30.29,29.07,23.42
485,31.81,30.29,29.07,23.42
486,31.81,30.29,29.07,23.42
487,31.81,30.39,29.17,23.33
488,31.81,30.29,29.17,23.33
489,31.81,30.29,29.17,23.33
490,31.81,30.39,29.17,23.42
491,31.81,30.29,29.17,23.42
492,31.81,30.29,29.17,23.33
493,31.81,30.39,29.17,23.33
494,31.81,30.29,29.17,23.33
495,31.81,30.39,29.17,23.33
496,31.81,30.29,29.17,23.42
497,31.81,30.29,29.17,23.42
